group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_balance,,1,1,bytes,1671488.0,ns,2
cost_stx_balance,,1,1,bytes,3318826.0,ns,4
cost_stx_balance,,1,1,bytes,5000377.0,ns,6
cost_stx_balance,,1,1,bytes,6668667.0,ns,8
cost_stx_balance,,1,1,bytes,8324206.0,ns,10
cost_stx_balance,,1,1,bytes,9971575.0,ns,12
cost_stx_balance,,1,1,bytes,11657025.0,ns,14
cost_stx_balance,,1,1,bytes,13311571.0,ns,16
cost_stx_balance,,1,1,bytes,14954324.0,ns,18
cost_stx_balance,,1,1,bytes,16635516.0,ns,20
cost_stx_balance,,1,1,bytes,18339154.0,ns,22
cost_stx_balance,,1,1,bytes,19975371.0,ns,24
cost_stx_balance,,1,1,bytes,21735444.0,ns,26
cost_stx_balance,,1,1,bytes,23421855.0,ns,28
cost_stx_balance,,1,1,bytes,25120480.0,ns,30
cost_stx_balance,,1,1,bytes,26794794.0,ns,32
cost_stx_balance,,1,1,bytes,28544244.0,ns,34
cost_stx_balance,,1,1,bytes,30050889.0,ns,36
cost_stx_balance,,1,1,bytes,31775699.0,ns,38
cost_stx_balance,,1,1,bytes,33379570.0,ns,40
cost_stx_balance,,1,1,bytes,35003077.0,ns,42
cost_stx_balance,,1,1,bytes,36665421.0,ns,44
cost_stx_balance,,1,1,bytes,38411294.0,ns,46
cost_stx_balance,,1,1,bytes,39940075.0,ns,48
cost_stx_balance,,1,1,bytes,41581883.0,ns,50
cost_stx_balance,,1,1,bytes,43077961.0,ns,52
cost_stx_balance,,1,1,bytes,44989320.0,ns,54
cost_stx_balance,,1,1,bytes,46764056.0,ns,56
cost_stx_balance,,1,1,bytes,48102398.0,ns,58
cost_stx_balance,,1,1,bytes,49942708.0,ns,60
cost_stx_balance,,1,1,bytes,56783298.0,ns,62
cost_stx_balance,,1,1,bytes,68107944.0,ns,64
cost_stx_balance,,1,1,bytes,58419492.0,ns,66
cost_stx_balance,,1,1,bytes,56642608.0,ns,68
cost_stx_balance,,1,1,bytes,57900727.0,ns,70
cost_stx_balance,,1,1,bytes,59661337.0,ns,72
cost_stx_balance,,1,1,bytes,61465900.0,ns,74
cost_stx_balance,,1,1,bytes,63156092.0,ns,76
cost_stx_balance,,1,1,bytes,64742811.0,ns,78
cost_stx_balance,,1,1,bytes,66584573.0,ns,80
cost_stx_balance,,1,1,bytes,68445910.0,ns,82
cost_stx_balance,,1,1,bytes,69517104.0,ns,84
cost_stx_balance,,1,1,bytes,71381978.0,ns,86
cost_stx_balance,,1,1,bytes,72705351.0,ns,88
cost_stx_balance,,1,1,bytes,74535482.0,ns,90
cost_stx_balance,,1,1,bytes,76431847.0,ns,92
cost_stx_balance,,1,1,bytes,77893027.0,ns,94
cost_stx_balance,,1,1,bytes,79658473.0,ns,96
cost_stx_balance,,1,1,bytes,81320102.0,ns,98
cost_stx_balance,,1,1,bytes,82602412.0,ns,100
cost_stx_balance,,1,1,bytes,84571438.0,ns,102
cost_stx_balance,,1,1,bytes,86155310.0,ns,104
cost_stx_balance,,1,1,bytes,87936082.0,ns,106
cost_stx_balance,,1,1,bytes,89779907.0,ns,108
cost_stx_balance,,1,1,bytes,90542042.0,ns,110
cost_stx_balance,,1,1,bytes,92516207.0,ns,112
cost_stx_balance,,1,1,bytes,94662491.0,ns,114
cost_stx_balance,,1,1,bytes,95932062.0,ns,116
cost_stx_balance,,1,1,bytes,111043953.0,ns,118
cost_stx_balance,,1,1,bytes,126756160.0,ns,120
cost_stx_balance,,1,1,bytes,128602784.0,ns,122
cost_stx_balance,,1,1,bytes,130970224.0,ns,124
cost_stx_balance,,1,1,bytes,133521477.0,ns,126
cost_stx_balance,,1,1,bytes,135251200.0,ns,128
cost_stx_balance,,1,1,bytes,136956858.0,ns,130
cost_stx_balance,,1,1,bytes,139738003.0,ns,132
cost_stx_balance,,1,1,bytes,141918238.0,ns,134
cost_stx_balance,,1,1,bytes,141024662.0,ns,136
cost_stx_balance,,1,1,bytes,115368338.0,ns,138
cost_stx_balance,,1,1,bytes,116775154.0,ns,140
cost_stx_balance,,1,1,bytes,117822354.0,ns,142
cost_stx_balance,,1,1,bytes,119358092.0,ns,144
cost_stx_balance,,1,1,bytes,121340207.0,ns,146
cost_stx_balance,,1,1,bytes,123117426.0,ns,148
cost_stx_balance,,1,1,bytes,125588991.0,ns,150
cost_stx_balance,,1,1,bytes,126386833.0,ns,152
cost_stx_balance,,1,1,bytes,128367605.0,ns,154
cost_stx_balance,,1,1,bytes,130155485.0,ns,156
cost_stx_balance,,1,1,bytes,131438862.0,ns,158
cost_stx_balance,,1,1,bytes,133522597.0,ns,160
cost_stx_balance,,1,1,bytes,134097685.0,ns,162
cost_stx_balance,,1,1,bytes,136368973.0,ns,164
cost_stx_balance,,1,1,bytes,138012064.0,ns,166
cost_stx_balance,,1,1,bytes,140817605.0,ns,168
cost_stx_balance,,1,1,bytes,141031889.0,ns,170
cost_stx_balance,,1,1,bytes,142250976.0,ns,172
cost_stx_balance,,1,1,bytes,143879080.0,ns,174
cost_stx_balance,,1,1,bytes,145383650.0,ns,176
cost_stx_balance,,1,1,bytes,162851365.0,ns,178
cost_stx_balance,,1,1,bytes,150069969.0,ns,180
cost_stx_balance,,1,1,bytes,150731811.0,ns,182
cost_stx_balance,,1,1,bytes,152131041.0,ns,184
cost_stx_balance,,1,1,bytes,153773601.0,ns,186
cost_stx_balance,,1,1,bytes,155973027.0,ns,188
cost_stx_balance,,1,1,bytes,172039718.0,ns,190
cost_stx_balance,,1,1,bytes,163512158.0,ns,192
cost_stx_balance,,1,1,bytes,161921361.0,ns,194
cost_stx_balance,,1,1,bytes,162851331.0,ns,196
cost_stx_balance,,1,1,bytes,164164866.0,ns,198
cost_stx_balance,,1,1,bytes,166202448.0,ns,200
