group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_balance,,1,1,bytes,2539347.0,ns,1
cost_stx_balance,,1,1,bytes,5009807.0,ns,2
cost_stx_balance,,1,1,bytes,7526704.0,ns,3
cost_stx_balance,,1,1,bytes,10024445.0,ns,4
cost_stx_balance,,1,1,bytes,12549231.0,ns,5
cost_stx_balance,,1,1,bytes,15696156.0,ns,6
cost_stx_balance,,1,1,bytes,17911183.0,ns,7
cost_stx_balance,,1,1,bytes,20329640.0,ns,8
cost_stx_balance,,1,1,bytes,22699517.0,ns,9
cost_stx_balance,,1,1,bytes,25260103.0,ns,10
cost_stx_balance,,1,1,bytes,27756616.0,ns,11
cost_stx_balance,,1,1,bytes,30744500.0,ns,12
cost_stx_balance,,1,1,bytes,33028274.0,ns,13
cost_stx_balance,,1,1,bytes,35516969.0,ns,14
cost_stx_balance,,1,1,bytes,37951660.0,ns,15
cost_stx_balance,,1,1,bytes,40267232.0,ns,16
cost_stx_balance,,1,1,bytes,42790925.0,ns,17
cost_stx_balance,,1,1,bytes,45286242.0,ns,18
cost_stx_balance,,1,1,bytes,47871474.0,ns,19
cost_stx_balance,,1,1,bytes,50358975.0,ns,20
cost_stx_balance,,1,1,bytes,52757861.0,ns,21
cost_stx_balance,,1,1,bytes,55152596.0,ns,22
cost_stx_balance,,1,1,bytes,57605835.0,ns,23
cost_stx_balance,,1,1,bytes,60098049.0,ns,24
cost_stx_balance,,1,1,bytes,62607794.0,ns,25
cost_stx_balance,,1,1,bytes,65118965.0,ns,26
cost_stx_balance,,1,1,bytes,68534650.0,ns,27
cost_stx_balance,,1,1,bytes,70874166.0,ns,28
cost_stx_balance,,1,1,bytes,73290493.0,ns,29
cost_stx_balance,,1,1,bytes,75836616.0,ns,30
cost_stx_balance,,1,1,bytes,78159626.0,ns,31
cost_stx_balance,,1,1,bytes,80759055.0,ns,32
cost_stx_balance,,1,1,bytes,83178519.0,ns,33
cost_stx_balance,,1,1,bytes,85545128.0,ns,34
cost_stx_balance,,1,1,bytes,87968278.0,ns,35
cost_stx_balance,,1,1,bytes,90365821.0,ns,36
cost_stx_balance,,1,1,bytes,92785193.0,ns,37
cost_stx_balance,,1,1,bytes,95381458.0,ns,38
cost_stx_balance,,1,1,bytes,97741783.0,ns,39
cost_stx_balance,,1,1,bytes,100513807.0,ns,40
cost_stx_balance,,1,1,bytes,102987647.0,ns,41
cost_stx_balance,,1,1,bytes,105876311.0,ns,42
cost_stx_balance,,1,1,bytes,108162887.0,ns,43
cost_stx_balance,,1,1,bytes,110833355.0,ns,44
