group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_transfer,,1,1,bytes,3831451.0,ns,1
cost_stx_transfer,,1,1,bytes,12214011.0,ns,2
cost_stx_transfer,,1,1,bytes,11321495.0,ns,3
cost_stx_transfer,,1,1,bytes,15022100.0,ns,4
cost_stx_transfer,,1,1,bytes,18752059.0,ns,5
cost_stx_transfer,,1,1,bytes,22530657.0,ns,6
cost_stx_transfer,,1,1,bytes,26092868.0,ns,7
cost_stx_transfer,,1,1,bytes,29833396.0,ns,8
cost_stx_transfer,,1,1,bytes,33666481.0,ns,9
cost_stx_transfer,,1,1,bytes,37351066.0,ns,10
cost_stx_transfer,,1,1,bytes,41147389.0,ns,11
cost_stx_transfer,,1,1,bytes,44839672.0,ns,12
cost_stx_transfer,,1,1,bytes,48490074.0,ns,13
cost_stx_transfer,,1,1,bytes,52390947.0,ns,14
cost_stx_transfer,,1,1,bytes,57035457.0,ns,15
cost_stx_transfer,,1,1,bytes,60882259.0,ns,16
cost_stx_transfer,,1,1,bytes,63895251.0,ns,17
cost_stx_transfer,,1,1,bytes,67738434.0,ns,18
cost_stx_transfer,,1,1,bytes,71313135.0,ns,19
cost_stx_transfer,,1,1,bytes,76131392.0,ns,20
cost_stx_transfer,,1,1,bytes,79131371.0,ns,21
cost_stx_transfer,,1,1,bytes,81987741.0,ns,22
cost_stx_transfer,,1,1,bytes,86305550.0,ns,23
cost_stx_transfer,,1,1,bytes,90655971.0,ns,24
cost_stx_transfer,,1,1,bytes,93709212.0,ns,25
cost_stx_transfer,,1,1,bytes,97142216.0,ns,26
cost_stx_transfer,,1,1,bytes,100747918.0,ns,27
cost_stx_transfer,,1,1,bytes,104596276.0,ns,28
cost_stx_transfer,,1,1,bytes,108258993.0,ns,29
cost_stx_transfer,,1,1,bytes,112584797.0,ns,30
cost_stx_transfer,,1,1,bytes,118086072.0,ns,31
cost_stx_transfer,,1,1,bytes,120392140.0,ns,32
cost_stx_transfer,,1,1,bytes,123854972.0,ns,33
cost_stx_transfer,,1,1,bytes,127232330.0,ns,34
cost_stx_transfer,,1,1,bytes,130624302.0,ns,35
cost_stx_transfer,,1,1,bytes,135129522.0,ns,36
cost_stx_transfer,,1,1,bytes,137804998.0,ns,37
cost_stx_transfer,,1,1,bytes,144765239.0,ns,38
cost_stx_transfer,,1,1,bytes,146785604.0,ns,39
cost_stx_transfer,,1,1,bytes,150499200.0,ns,40
cost_stx_transfer,,1,1,bytes,153832762.0,ns,41
cost_stx_transfer,,1,1,bytes,157307781.0,ns,42
cost_stx_transfer,,1,1,bytes,160923441.0,ns,43
cost_stx_transfer,,1,1,bytes,168575676.0,ns,44
cost_stx_transfer,,1,1,bytes,178356563.0,ns,45
cost_stx_transfer,,1,1,bytes,172655404.0,ns,46
cost_stx_transfer,,1,1,bytes,177126127.0,ns,47
cost_stx_transfer,,1,1,bytes,180108972.0,ns,48
cost_stx_transfer,,1,1,bytes,183345775.0,ns,49
cost_stx_transfer,,1,1,bytes,188904758.0,ns,50
cost_stx_transfer,,1,1,bytes,191555994.0,ns,51
cost_stx_transfer,,1,1,bytes,194662904.0,ns,52
cost_stx_transfer,,1,1,bytes,197998418.0,ns,53
cost_stx_transfer,,1,1,bytes,206785401.0,ns,54
cost_stx_transfer,,1,1,bytes,210513836.0,ns,55
cost_stx_transfer,,1,1,bytes,211990613.0,ns,56
cost_stx_transfer,,1,1,bytes,216024854.0,ns,57
cost_stx_transfer,,1,1,bytes,221727455.0,ns,58
cost_stx_transfer,,1,1,bytes,225450713.0,ns,59
cost_stx_transfer,,1,1,bytes,230043327.0,ns,60
cost_stx_transfer,,1,1,bytes,232083866.0,ns,61
cost_stx_transfer,,1,1,bytes,236492569.0,ns,62
cost_stx_transfer,,1,1,bytes,239214706.0,ns,63
cost_stx_transfer,,1,1,bytes,246271818.0,ns,64
cost_stx_transfer,,1,1,bytes,247856798.0,ns,65
cost_stx_transfer,,1,1,bytes,251023973.0,ns,66
cost_stx_transfer,,1,1,bytes,255881462.0,ns,67
cost_stx_transfer,,1,1,bytes,261321357.0,ns,68
cost_stx_transfer,,1,1,bytes,263887417.0,ns,69
cost_stx_transfer,,1,1,bytes,272846718.0,ns,70
cost_stx_transfer,,1,1,bytes,272289255.0,ns,71
cost_stx_transfer,,1,1,bytes,273925046.0,ns,72
cost_stx_transfer,,1,1,bytes,276445326.0,ns,73
cost_stx_transfer,,1,1,bytes,281937795.0,ns,74
cost_stx_transfer,,1,1,bytes,288201631.0,ns,75
cost_stx_transfer,,1,1,bytes,292649269.0,ns,76
cost_stx_transfer,,1,1,bytes,299575696.0,ns,77
cost_stx_transfer,,1,1,bytes,317110915.0,ns,78
cost_stx_transfer,,1,1,bytes,307586443.0,ns,79
cost_stx_transfer,,1,1,bytes,308439000.0,ns,80
cost_stx_transfer,,1,1,bytes,311255705.0,ns,81
cost_stx_transfer,,1,1,bytes,313010713.0,ns,82
cost_stx_transfer,,1,1,bytes,317752014.0,ns,83
cost_stx_transfer,,1,1,bytes,323205910.0,ns,84
cost_stx_transfer,,1,1,bytes,331171415.0,ns,85
cost_stx_transfer,,1,1,bytes,332850968.0,ns,86
cost_stx_transfer,,1,1,bytes,335487464.0,ns,87
cost_stx_transfer,,1,1,bytes,342639703.0,ns,88
