group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_transfer_memo,,1,1,bytes,4096281.0,ns,1
cost_stx_transfer_memo,,1,1,bytes,13778910.0,ns,2
cost_stx_transfer_memo,,1,1,bytes,11628968.0,ns,3
cost_stx_transfer_memo,,1,1,bytes,15615146.0,ns,4
cost_stx_transfer_memo,,1,1,bytes,19464069.0,ns,5
cost_stx_transfer_memo,,1,1,bytes,23402960.0,ns,6
cost_stx_transfer_memo,,1,1,bytes,27284076.0,ns,7
cost_stx_transfer_memo,,1,1,bytes,31188803.0,ns,8
cost_stx_transfer_memo,,1,1,bytes,35007748.0,ns,9
cost_stx_transfer_memo,,1,1,bytes,39081870.0,ns,10
cost_stx_transfer_memo,,1,1,bytes,42911165.0,ns,11
cost_stx_transfer_memo,,1,1,bytes,46910325.0,ns,12
cost_stx_transfer_memo,,1,1,bytes,51576257.0,ns,13
cost_stx_transfer_memo,,1,1,bytes,55555433.0,ns,14
cost_stx_transfer_memo,,1,1,bytes,58705613.0,ns,15
cost_stx_transfer_memo,,1,1,bytes,62674043.0,ns,16
cost_stx_transfer_memo,,1,1,bytes,66670639.0,ns,17
cost_stx_transfer_memo,,1,1,bytes,70507058.0,ns,18
cost_stx_transfer_memo,,1,1,bytes,74168455.0,ns,19
cost_stx_transfer_memo,,1,1,bytes,78153497.0,ns,20
cost_stx_transfer_memo,,1,1,bytes,82111912.0,ns,21
cost_stx_transfer_memo,,1,1,bytes,85928602.0,ns,22
cost_stx_transfer_memo,,1,1,bytes,91933011.0,ns,23
cost_stx_transfer_memo,,1,1,bytes,94963849.0,ns,24
cost_stx_transfer_memo,,1,1,bytes,98598409.0,ns,25
cost_stx_transfer_memo,,1,1,bytes,104950625.0,ns,26
cost_stx_transfer_memo,,1,1,bytes,106468517.0,ns,27
cost_stx_transfer_memo,,1,1,bytes,109871270.0,ns,28
cost_stx_transfer_memo,,1,1,bytes,113172542.0,ns,29
cost_stx_transfer_memo,,1,1,bytes,117015018.0,ns,30
cost_stx_transfer_memo,,1,1,bytes,120990002.0,ns,31
cost_stx_transfer_memo,,1,1,bytes,125150036.0,ns,32
cost_stx_transfer_memo,,1,1,bytes,128959573.0,ns,33
cost_stx_transfer_memo,,1,1,bytes,132334594.0,ns,34
cost_stx_transfer_memo,,1,1,bytes,138989833.0,ns,35
cost_stx_transfer_memo,,1,1,bytes,141801783.0,ns,36
cost_stx_transfer_memo,,1,1,bytes,144749710.0,ns,37
cost_stx_transfer_memo,,1,1,bytes,151969379.0,ns,38
cost_stx_transfer_memo,,1,1,bytes,152866076.0,ns,39
cost_stx_transfer_memo,,1,1,bytes,157543590.0,ns,40
cost_stx_transfer_memo,,1,1,bytes,164804890.0,ns,41
cost_stx_transfer_memo,,1,1,bytes,164539728.0,ns,42
cost_stx_transfer_memo,,1,1,bytes,168657835.0,ns,43
cost_stx_transfer_memo,,1,1,bytes,171826473.0,ns,44
cost_stx_transfer_memo,,1,1,bytes,183545994.0,ns,45
cost_stx_transfer_memo,,1,1,bytes,178586228.0,ns,46
cost_stx_transfer_memo,,1,1,bytes,183736214.0,ns,47
cost_stx_transfer_memo,,1,1,bytes,187739561.0,ns,48
cost_stx_transfer_memo,,1,1,bytes,190413476.0,ns,49
cost_stx_transfer_memo,,1,1,bytes,193911684.0,ns,50
cost_stx_transfer_memo,,1,1,bytes,197863320.0,ns,51
cost_stx_transfer_memo,,1,1,bytes,204183115.0,ns,52
cost_stx_transfer_memo,,1,1,bytes,207027482.0,ns,53
cost_stx_transfer_memo,,1,1,bytes,210379347.0,ns,54
cost_stx_transfer_memo,,1,1,bytes,214769803.0,ns,55
cost_stx_transfer_memo,,1,1,bytes,218350056.0,ns,56
cost_stx_transfer_memo,,1,1,bytes,224282612.0,ns,57
cost_stx_transfer_memo,,1,1,bytes,228602017.0,ns,58
cost_stx_transfer_memo,,1,1,bytes,230288164.0,ns,59
cost_stx_transfer_memo,,1,1,bytes,235800035.0,ns,60
cost_stx_transfer_memo,,1,1,bytes,240136620.0,ns,61
cost_stx_transfer_memo,,1,1,bytes,244633281.0,ns,62
cost_stx_transfer_memo,,1,1,bytes,247631519.0,ns,63
cost_stx_transfer_memo,,1,1,bytes,251177573.0,ns,64
cost_stx_transfer_memo,,1,1,bytes,256198371.0,ns,65
cost_stx_transfer_memo,,1,1,bytes,256707511.0,ns,66
cost_stx_transfer_memo,,1,1,bytes,260356329.0,ns,67
cost_stx_transfer_memo,,1,1,bytes,263375189.0,ns,68
cost_stx_transfer_memo,,1,1,bytes,270340757.0,ns,69
cost_stx_transfer_memo,,1,1,bytes,281247836.0,ns,70
cost_stx_transfer_memo,,1,1,bytes,278360768.0,ns,71
cost_stx_transfer_memo,,1,1,bytes,279996483.0,ns,72
