group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_stx_transfer_memo,,1,1,bytes,4137592.0,ns,1
cost_stx_transfer_memo,,1,1,bytes,12258017.0,ns,2
cost_stx_transfer_memo,,1,1,bytes,11608756.0,ns,3
cost_stx_transfer_memo,,1,1,bytes,15537289.0,ns,4
cost_stx_transfer_memo,,1,1,bytes,19598733.0,ns,5
cost_stx_transfer_memo,,1,1,bytes,23229943.0,ns,6
cost_stx_transfer_memo,,1,1,bytes,27334092.0,ns,7
cost_stx_transfer_memo,,1,1,bytes,30995044.0,ns,8
cost_stx_transfer_memo,,1,1,bytes,35131052.0,ns,9
cost_stx_transfer_memo,,1,1,bytes,38886248.0,ns,10
cost_stx_transfer_memo,,1,1,bytes,42911144.0,ns,11
cost_stx_transfer_memo,,1,1,bytes,46952270.0,ns,12
cost_stx_transfer_memo,,1,1,bytes,50443580.0,ns,13
cost_stx_transfer_memo,,1,1,bytes,55107749.0,ns,14
cost_stx_transfer_memo,,1,1,bytes,58739445.0,ns,15
cost_stx_transfer_memo,,1,1,bytes,62564700.0,ns,16
cost_stx_transfer_memo,,1,1,bytes,67765339.0,ns,17
cost_stx_transfer_memo,,1,1,bytes,71676730.0,ns,18
cost_stx_transfer_memo,,1,1,bytes,75428610.0,ns,19
cost_stx_transfer_memo,,1,1,bytes,79392011.0,ns,20
cost_stx_transfer_memo,,1,1,bytes,83517712.0,ns,21
cost_stx_transfer_memo,,1,1,bytes,86458078.0,ns,22
cost_stx_transfer_memo,,1,1,bytes,90201876.0,ns,23
cost_stx_transfer_memo,,1,1,bytes,93058015.0,ns,24
cost_stx_transfer_memo,,1,1,bytes,97735112.0,ns,25
cost_stx_transfer_memo,,1,1,bytes,102044560.0,ns,26
cost_stx_transfer_memo,,1,1,bytes,106196265.0,ns,27
cost_stx_transfer_memo,,1,1,bytes,109437539.0,ns,28
cost_stx_transfer_memo,,1,1,bytes,114334292.0,ns,29
cost_stx_transfer_memo,,1,1,bytes,117912980.0,ns,30
cost_stx_transfer_memo,,1,1,bytes,121016342.0,ns,31
cost_stx_transfer_memo,,1,1,bytes,124876665.0,ns,32
cost_stx_transfer_memo,,1,1,bytes,130510564.0,ns,33
cost_stx_transfer_memo,,1,1,bytes,133761354.0,ns,34
cost_stx_transfer_memo,,1,1,bytes,137288538.0,ns,35
cost_stx_transfer_memo,,1,1,bytes,140130221.0,ns,36
cost_stx_transfer_memo,,1,1,bytes,144601170.0,ns,37
cost_stx_transfer_memo,,1,1,bytes,151898697.0,ns,38
cost_stx_transfer_memo,,1,1,bytes,153542740.0,ns,39
cost_stx_transfer_memo,,1,1,bytes,155282397.0,ns,40
cost_stx_transfer_memo,,1,1,bytes,159855000.0,ns,41
cost_stx_transfer_memo,,1,1,bytes,164231274.0,ns,42
cost_stx_transfer_memo,,1,1,bytes,167468682.0,ns,43
cost_stx_transfer_memo,,1,1,bytes,172060688.0,ns,44
cost_stx_transfer_memo,,1,1,bytes,183841880.0,ns,45
cost_stx_transfer_memo,,1,1,bytes,179085818.0,ns,46
cost_stx_transfer_memo,,1,1,bytes,185052565.0,ns,47
cost_stx_transfer_memo,,1,1,bytes,188165261.0,ns,48
cost_stx_transfer_memo,,1,1,bytes,191842641.0,ns,49
cost_stx_transfer_memo,,1,1,bytes,195975511.0,ns,50
cost_stx_transfer_memo,,1,1,bytes,199456881.0,ns,51
cost_stx_transfer_memo,,1,1,bytes,204133440.0,ns,52
cost_stx_transfer_memo,,1,1,bytes,207119087.0,ns,53
cost_stx_transfer_memo,,1,1,bytes,210428870.0,ns,54
cost_stx_transfer_memo,,1,1,bytes,214241868.0,ns,55
cost_stx_transfer_memo,,1,1,bytes,218380653.0,ns,56
cost_stx_transfer_memo,,1,1,bytes,222734161.0,ns,57
cost_stx_transfer_memo,,1,1,bytes,227242044.0,ns,58
cost_stx_transfer_memo,,1,1,bytes,229705083.0,ns,59
cost_stx_transfer_memo,,1,1,bytes,237358107.0,ns,60
cost_stx_transfer_memo,,1,1,bytes,240591947.0,ns,61
cost_stx_transfer_memo,,1,1,bytes,242243745.0,ns,62
cost_stx_transfer_memo,,1,1,bytes,246907421.0,ns,63
cost_stx_transfer_memo,,1,1,bytes,249076914.0,ns,64
cost_stx_transfer_memo,,1,1,bytes,257017227.0,ns,65
cost_stx_transfer_memo,,1,1,bytes,259356233.0,ns,66
cost_stx_transfer_memo,,1,1,bytes,261751776.0,ns,67
cost_stx_transfer_memo,,1,1,bytes,266576520.0,ns,68
cost_stx_transfer_memo,,1,1,bytes,272889522.0,ns,69
cost_stx_transfer_memo,,1,1,bytes,278401383.0,ns,70
cost_stx_transfer_memo,,1,1,bytes,276748057.0,ns,71
cost_stx_transfer_memo,,1,1,bytes,284256721.0,ns,72
cost_stx_transfer_memo,,1,1,bytes,286784971.0,ns,73
cost_stx_transfer_memo,,1,1,bytes,301441314.0,ns,74
cost_stx_transfer_memo,,1,1,bytes,294022736.0,ns,75
cost_stx_transfer_memo,,1,1,bytes,299794117.0,ns,76
cost_stx_transfer_memo,,1,1,bytes,302036533.0,ns,77
cost_stx_transfer_memo,,1,1,bytes,303892343.0,ns,78
cost_stx_transfer_memo,,1,1,bytes,310106542.0,ns,79
cost_stx_transfer_memo,,1,1,bytes,313301598.0,ns,80
cost_stx_transfer_memo,,1,1,bytes,315669897.0,ns,81
cost_stx_transfer_memo,,1,1,bytes,319969487.0,ns,82
cost_stx_transfer_memo,,1,1,bytes,325712827.0,ns,83
cost_stx_transfer_memo,,1,1,bytes,326407000.0,ns,84
cost_stx_transfer_memo,,1,1,bytes,331475449.0,ns,85
cost_stx_transfer_memo,,1,1,bytes,334026965.0,ns,86
cost_stx_transfer_memo,,1,1,bytes,341195345.0,ns,87
cost_stx_transfer_memo,,1,1,bytes,344740878.0,ns,88
cost_stx_transfer_memo,,1,1,bytes,347361786.0,ns,89
cost_stx_transfer_memo,,1,1,bytes,357271291.0,ns,90
cost_stx_transfer_memo,,1,1,bytes,360717407.0,ns,91
cost_stx_transfer_memo,,1,1,bytes,360547005.0,ns,92
cost_stx_transfer_memo,,1,1,bytes,360849403.0,ns,93
cost_stx_transfer_memo,,1,1,bytes,367238750.0,ns,94
cost_stx_transfer_memo,,1,1,bytes,370136545.0,ns,95
cost_stx_transfer_memo,,1,1,bytes,373975817.0,ns,96
cost_stx_transfer_memo,,1,1,bytes,385683343.0,ns,97
cost_stx_transfer_memo,,1,1,bytes,391142536.0,ns,98
cost_stx_transfer_memo,,1,1,bytes,392460750.0,ns,99
cost_stx_transfer_memo,,1,1,bytes,397005476.0,ns,100
