group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_sub,,2,2,bytes,2007385.0,ns,31
cost_sub,,2,2,bytes,3883111.0,ns,62
cost_sub,,2,2,bytes,5833218.0,ns,93
cost_sub,,2,2,bytes,7741693.0,ns,124
cost_sub,,2,2,bytes,9696785.0,ns,155
cost_sub,,2,2,bytes,11642165.0,ns,186
cost_sub,,2,2,bytes,13580575.0,ns,217
cost_sub,,2,2,bytes,15521651.0,ns,248
cost_sub,,2,2,bytes,17439792.0,ns,279
cost_sub,,2,2,bytes,19408492.0,ns,310
cost_sub,,2,2,bytes,21330521.0,ns,341
cost_sub,,2,2,bytes,23269578.0,ns,372
cost_sub,,2,2,bytes,25186332.0,ns,403
cost_sub,,2,2,bytes,27152585.0,ns,434
cost_sub,,2,2,bytes,29208194.0,ns,465
cost_sub,,2,2,bytes,31056474.0,ns,496
cost_sub,,2,2,bytes,32979399.0,ns,527
cost_sub,,2,2,bytes,34923108.0,ns,558
cost_sub,,2,2,bytes,36848774.0,ns,589
cost_sub,,2,2,bytes,38788346.0,ns,620
cost_sub,,2,2,bytes,40702652.0,ns,651
cost_sub,,2,2,bytes,42593663.0,ns,682
cost_sub,,2,2,bytes,44549954.0,ns,713
cost_sub,,2,2,bytes,46531658.0,ns,744
cost_sub,,2,2,bytes,48869925.0,ns,775
cost_sub,,2,2,bytes,50562966.0,ns,806
cost_sub,,2,2,bytes,52889458.0,ns,837
cost_sub,,2,2,bytes,54286594.0,ns,868
cost_sub,,2,2,bytes,56738567.0,ns,899
cost_sub,,2,2,bytes,58276530.0,ns,930
cost_sub,,2,2,bytes,60295147.0,ns,961
cost_sub,,2,2,bytes,62609549.0,ns,992
cost_sub,,2,2,bytes,64196686.0,ns,1023
cost_sub,,2,2,bytes,66672402.0,ns,1054
cost_sub,,2,2,bytes,67919193.0,ns,1085
cost_sub,,2,2,bytes,69947810.0,ns,1116
cost_sub,,2,2,bytes,71732876.0,ns,1147
cost_sub,,2,2,bytes,73718745.0,ns,1178
cost_sub,,2,2,bytes,75716725.0,ns,1209
cost_sub,,2,2,bytes,77640998.0,ns,1240
cost_sub,,2,2,bytes,80395276.0,ns,1271
cost_sub,,2,2,bytes,81731735.0,ns,1302
cost_sub,,2,2,bytes,83364854.0,ns,1333
cost_sub,,2,2,bytes,85301688.0,ns,1364
cost_sub,,2,2,bytes,87868819.0,ns,1395
cost_sub,,2,2,bytes,89321644.0,ns,1426
cost_sub,,2,2,bytes,91133667.0,ns,1457
cost_sub,,2,2,bytes,93056605.0,ns,1488
cost_sub,,2,2,bytes,95024139.0,ns,1519
cost_sub,,2,2,bytes,96899021.0,ns,1550
cost_sub,,2,2,bytes,98766229.0,ns,1581
cost_sub,,2,2,bytes,100821597.0,ns,1612
cost_sub,,2,2,bytes,103095842.0,ns,1643
cost_sub,,2,2,bytes,104773258.0,ns,1674
cost_sub,,2,2,bytes,107042912.0,ns,1705
cost_sub,,2,2,bytes,109441842.0,ns,1736
cost_sub,,2,2,bytes,111181507.0,ns,1767
cost_sub,,2,2,bytes,112564440.0,ns,1798
cost_sub,,2,2,bytes,114054444.0,ns,1829
cost_sub,,2,2,bytes,116403768.0,ns,1860
cost_sub,,2,2,bytes,118685055.0,ns,1891
cost_sub,,2,2,bytes,120408061.0,ns,1922
cost_sub,,2,2,bytes,122197815.0,ns,1953
cost_sub,,2,2,bytes,124313938.0,ns,1984
cost_sub,,2,2,bytes,126217040.0,ns,2015
cost_sub,,2,2,bytes,128132824.0,ns,2046
cost_sub,,2,2,bytes,129945994.0,ns,2077
cost_sub,,2,2,bytes,131860243.0,ns,2108
cost_sub,,2,2,bytes,133985323.0,ns,2139
cost_sub,,2,2,bytes,135676582.0,ns,2170
cost_sub,,2,2,bytes,137216152.0,ns,2201
cost_sub,,2,2,bytes,139168281.0,ns,2232
cost_sub,,2,2,bytes,141353574.0,ns,2263
cost_sub,,2,2,bytes,143494244.0,ns,2294
cost_sub,,2,2,bytes,145458032.0,ns,2325
cost_sub,,2,2,bytes,147387536.0,ns,2356
cost_sub,,2,2,bytes,149369904.0,ns,2387
cost_sub,,2,2,bytes,151624594.0,ns,2418
cost_sub,,2,2,bytes,153112691.0,ns,2449
cost_sub,,2,2,bytes,154971018.0,ns,2480
cost_sub,,2,2,bytes,157349401.0,ns,2511
cost_sub,,2,2,bytes,159002897.0,ns,2542
cost_sub,,2,2,bytes,161409552.0,ns,2573
cost_sub,,2,2,bytes,162888624.0,ns,2604
cost_sub,,2,2,bytes,164962843.0,ns,2635
cost_sub,,2,2,bytes,166724264.0,ns,2666
cost_sub,,2,2,bytes,168514452.0,ns,2697
cost_sub,,2,2,bytes,169633859.0,ns,2728
cost_sub,,2,2,bytes,173428318.0,ns,2759
cost_sub,,2,2,bytes,175116649.0,ns,2790
cost_sub,,2,2,bytes,177360534.0,ns,2821
cost_sub,,2,2,bytes,178434239.0,ns,2852
cost_sub,,2,2,bytes,179968394.0,ns,2883
cost_sub,,2,2,bytes,183770744.0,ns,2914
cost_sub,,2,2,bytes,184874881.0,ns,2945
cost_sub,,2,2,bytes,186077467.0,ns,2976
cost_sub,,2,2,bytes,188188923.0,ns,3007
cost_sub,,2,2,bytes,190094655.0,ns,3038
cost_sub,,2,2,bytes,191956129.0,ns,3069
cost_sub,,2,2,bytes,194164249.0,ns,3100
