group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_sub,,5,5,bytes,2089957.0,ns,30
cost_sub,,5,5,bytes,3975507.0,ns,60
cost_sub,,5,5,bytes,5972327.0,ns,90
cost_sub,,5,5,bytes,7962184.0,ns,120
cost_sub,,5,5,bytes,9940769.0,ns,150
cost_sub,,5,5,bytes,11946660.0,ns,180
cost_sub,,5,5,bytes,13930958.0,ns,210
cost_sub,,5,5,bytes,15960943.0,ns,240
cost_sub,,5,5,bytes,17887225.0,ns,270
cost_sub,,5,5,bytes,19927884.0,ns,300
cost_sub,,5,5,bytes,21926757.0,ns,330
cost_sub,,5,5,bytes,23864404.0,ns,360
cost_sub,,5,5,bytes,25858324.0,ns,390
cost_sub,,5,5,bytes,27824768.0,ns,420
cost_sub,,5,5,bytes,29860814.0,ns,450
cost_sub,,5,5,bytes,31834682.0,ns,480
cost_sub,,5,5,bytes,33816254.0,ns,510
cost_sub,,5,5,bytes,35816462.0,ns,540
cost_sub,,5,5,bytes,37834883.0,ns,570
cost_sub,,5,5,bytes,39777471.0,ns,600
cost_sub,,5,5,bytes,41768913.0,ns,630
cost_sub,,5,5,bytes,43805503.0,ns,660
cost_sub,,5,5,bytes,45784515.0,ns,690
cost_sub,,5,5,bytes,47750600.0,ns,720
cost_sub,,5,5,bytes,49749888.0,ns,750
cost_sub,,5,5,bytes,51782787.0,ns,780
cost_sub,,5,5,bytes,53690322.0,ns,810
cost_sub,,5,5,bytes,55680835.0,ns,840
cost_sub,,5,5,bytes,57710881.0,ns,870
cost_sub,,5,5,bytes,59721134.0,ns,900
cost_sub,,5,5,bytes,61642958.0,ns,930
cost_sub,,5,5,bytes,63647256.0,ns,960
cost_sub,,5,5,bytes,65818185.0,ns,990
cost_sub,,5,5,bytes,67728320.0,ns,1020
cost_sub,,5,5,bytes,69551992.0,ns,1050
cost_sub,,5,5,bytes,71685198.0,ns,1080
cost_sub,,5,5,bytes,73644220.0,ns,1110
cost_sub,,5,5,bytes,75547560.0,ns,1140
cost_sub,,5,5,bytes,77698551.0,ns,1170
cost_sub,,5,5,bytes,79554531.0,ns,1200
cost_sub,,5,5,bytes,81553127.0,ns,1230
cost_sub,,5,5,bytes,83508468.0,ns,1260
cost_sub,,5,5,bytes,85528848.0,ns,1290
cost_sub,,5,5,bytes,87502734.0,ns,1320
cost_sub,,5,5,bytes,89454017.0,ns,1350
cost_sub,,5,5,bytes,91555978.0,ns,1380
cost_sub,,5,5,bytes,93453415.0,ns,1410
cost_sub,,5,5,bytes,95436379.0,ns,1440
cost_sub,,5,5,bytes,97423162.0,ns,1470
cost_sub,,5,5,bytes,99400850.0,ns,1500
cost_sub,,5,5,bytes,101370336.0,ns,1530
cost_sub,,5,5,bytes,103435023.0,ns,1560
cost_sub,,5,5,bytes,105358938.0,ns,1590
cost_sub,,5,5,bytes,107421615.0,ns,1620
cost_sub,,5,5,bytes,109406160.0,ns,1650
cost_sub,,5,5,bytes,113121062.0,ns,1680
cost_sub,,5,5,bytes,113374597.0,ns,1710
cost_sub,,5,5,bytes,115366297.0,ns,1740
cost_sub,,5,5,bytes,118694780.0,ns,1770
cost_sub,,5,5,bytes,119208974.0,ns,1800
cost_sub,,5,5,bytes,121276399.0,ns,1830
cost_sub,,5,5,bytes,123259540.0,ns,1860
cost_sub,,5,5,bytes,125761820.0,ns,1890
cost_sub,,5,5,bytes,127725631.0,ns,1920
cost_sub,,5,5,bytes,129433198.0,ns,1950
cost_sub,,5,5,bytes,131189989.0,ns,1980
cost_sub,,5,5,bytes,133379227.0,ns,2010
cost_sub,,5,5,bytes,135302092.0,ns,2040
cost_sub,,5,5,bytes,137183283.0,ns,2070
cost_sub,,5,5,bytes,139227953.0,ns,2100
cost_sub,,5,5,bytes,141385093.0,ns,2130
cost_sub,,5,5,bytes,143337386.0,ns,2160
cost_sub,,5,5,bytes,145242506.0,ns,2190
cost_sub,,5,5,bytes,147198422.0,ns,2220
cost_sub,,5,5,bytes,149125075.0,ns,2250
cost_sub,,5,5,bytes,151148563.0,ns,2280
cost_sub,,5,5,bytes,153141141.0,ns,2310
cost_sub,,5,5,bytes,155382655.0,ns,2340
cost_sub,,5,5,bytes,157645685.0,ns,2370
cost_sub,,5,5,bytes,159296786.0,ns,2400
cost_sub,,5,5,bytes,161100533.0,ns,2430
cost_sub,,5,5,bytes,163591827.0,ns,2460
cost_sub,,5,5,bytes,165172631.0,ns,2490
cost_sub,,5,5,bytes,167408646.0,ns,2520
cost_sub,,5,5,bytes,169244933.0,ns,2550
cost_sub,,5,5,bytes,170999693.0,ns,2580
cost_sub,,5,5,bytes,173193059.0,ns,2610
cost_sub,,5,5,bytes,175006053.0,ns,2640
cost_sub,,5,5,bytes,177145429.0,ns,2670
cost_sub,,5,5,bytes,179268849.0,ns,2700
cost_sub,,5,5,bytes,181117105.0,ns,2730
cost_sub,,5,5,bytes,183078236.0,ns,2760
cost_sub,,5,5,bytes,184979895.0,ns,2790
cost_sub,,5,5,bytes,187094473.0,ns,2820
cost_sub,,5,5,bytes,188984090.0,ns,2850
cost_sub,,5,5,bytes,190901566.0,ns,2880
cost_sub,,5,5,bytes,192934094.0,ns,2910
cost_sub,,5,5,bytes,194972514.0,ns,2940
cost_sub,,5,5,bytes,196872497.0,ns,2970
cost_sub,,5,5,bytes,198851240.0,ns,3000
