group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_to_consensus_buff,,359997,359997,bytes,245978129.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,238530692.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239721617.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239957066.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,244448905.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,246623919.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,249660913.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,245358880.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242596551.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240934651.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240116237.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,237050221.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,235486735.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,235879268.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,235047960.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240418665.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239086660.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,238033259.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236522159.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,237327184.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236991379.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239023095.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,237287478.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236376831.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236170336.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236954474.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236402476.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,237201562.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242520927.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,245044754.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,237637868.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236169036.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236075687.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,236721951.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241621085.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241419005.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239768608.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,238235489.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,237967867.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239870806.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,238585091.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240919972.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241281182.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242785250.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243627839.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242309048.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240836022.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241174190.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241009272.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242063190.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242359326.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241715031.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241482680.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241824626.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,244381639.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243339135.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242043440.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241070764.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242048051.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243288815.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243782445.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241178061.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242313912.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242355516.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243707577.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,249466514.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,245096816.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241050640.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241518484.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242175389.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,246891274.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,249443408.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240971748.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,238419766.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,239879142.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241537997.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243064639.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242325132.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243707219.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243342790.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240682114.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240258663.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240382782.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,243794697.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241931286.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242256162.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,242324998.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,244714338.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,241757517.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240549213.0,ns,1
cost_to_consensus_buff,,359997,359997,bytes,240816943.0,ns,1
