group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_to_consensus_buff,,39989,39989,bytes,105046111.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,104805313.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,105039987.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,104360224.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,104303208.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,103009017.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102849332.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102834256.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102757881.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102914196.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102829359.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102954051.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,103060980.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,103276602.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102819519.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102616718.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,103187580.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102302845.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102327344.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102289649.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102306579.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102565375.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102379419.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102342380.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102045739.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102326164.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102139849.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102442356.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102226201.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102115557.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102100597.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102203935.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,103298766.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102342358.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102123393.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102423544.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102350910.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102352599.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102184481.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102402862.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102803353.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102595939.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101854772.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102218261.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102305173.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,106135675.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102629471.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101745546.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102038531.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101669040.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101949069.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101861104.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102206359.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101823843.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101607541.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101711183.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101685484.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101682094.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101472646.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101473694.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101613078.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101993450.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102658755.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102334345.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101632684.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101697683.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101328234.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101300750.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101245788.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101527282.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102136144.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102010107.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102053629.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101699267.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101924353.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101564857.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101502908.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101557015.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101786100.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101797038.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102000794.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101987414.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102030478.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100995022.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101167844.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100870993.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100937865.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100936524.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100563617.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100702915.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102522052.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,102833602.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,101066709.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100332115.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,99977189.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100664416.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100007175.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100141075.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,100186922.0,ns,4
cost_to_consensus_buff,,39989,39989,bytes,99473372.0,ns,4
