group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_trait_checker,,135,135,bytes,2203891.0,ns,17
cost_trait_checker,,135,135,bytes,4174408.0,ns,34
cost_trait_checker,,135,135,bytes,6253501.0,ns,51
cost_trait_checker,,135,135,bytes,8315655.0,ns,68
cost_trait_checker,,135,135,bytes,10410747.0,ns,85
cost_trait_checker,,135,135,bytes,12481203.0,ns,102
cost_trait_checker,,135,135,bytes,14563550.0,ns,119
cost_trait_checker,,135,135,bytes,16674555.0,ns,136
cost_trait_checker,,135,135,bytes,18966685.0,ns,153
cost_trait_checker,,135,135,bytes,20805344.0,ns,170
cost_trait_checker,,135,135,bytes,22895457.0,ns,187
cost_trait_checker,,135,135,bytes,24966651.0,ns,204
cost_trait_checker,,135,135,bytes,27062423.0,ns,221
cost_trait_checker,,135,135,bytes,29170533.0,ns,238
cost_trait_checker,,135,135,bytes,31332699.0,ns,255
cost_trait_checker,,135,135,bytes,33573623.0,ns,272
cost_trait_checker,,135,135,bytes,35531904.0,ns,289
cost_trait_checker,,135,135,bytes,37724821.0,ns,306
cost_trait_checker,,135,135,bytes,39537046.0,ns,323
cost_trait_checker,,135,135,bytes,41698568.0,ns,340
cost_trait_checker,,135,135,bytes,44813403.0,ns,357
cost_trait_checker,,135,135,bytes,45895030.0,ns,374
cost_trait_checker,,135,135,bytes,48112587.0,ns,391
cost_trait_checker,,135,135,bytes,49941753.0,ns,408
cost_trait_checker,,135,135,bytes,52130433.0,ns,425
cost_trait_checker,,135,135,bytes,54113728.0,ns,442
cost_trait_checker,,135,135,bytes,56198489.0,ns,459
cost_trait_checker,,135,135,bytes,58258291.0,ns,476
cost_trait_checker,,135,135,bytes,60350381.0,ns,493
cost_trait_checker,,135,135,bytes,62548709.0,ns,510
cost_trait_checker,,135,135,bytes,64534136.0,ns,527
cost_trait_checker,,135,135,bytes,66662027.0,ns,544
cost_trait_checker,,135,135,bytes,68641700.0,ns,561
cost_trait_checker,,135,135,bytes,70722186.0,ns,578
cost_trait_checker,,135,135,bytes,73034690.0,ns,595
cost_trait_checker,,135,135,bytes,74948120.0,ns,612
cost_trait_checker,,135,135,bytes,76947562.0,ns,629
cost_trait_checker,,135,135,bytes,79159377.0,ns,646
cost_trait_checker,,135,135,bytes,81220515.0,ns,663
cost_trait_checker,,135,135,bytes,83240003.0,ns,680
cost_trait_checker,,135,135,bytes,85311187.0,ns,697
cost_trait_checker,,135,135,bytes,87397479.0,ns,714
cost_trait_checker,,135,135,bytes,89521009.0,ns,731
cost_trait_checker,,135,135,bytes,91536724.0,ns,748
cost_trait_checker,,135,135,bytes,93658907.0,ns,765
cost_trait_checker,,135,135,bytes,95735069.0,ns,782
cost_trait_checker,,135,135,bytes,98072367.0,ns,799
cost_trait_checker,,135,135,bytes,99945523.0,ns,816
cost_trait_checker,,135,135,bytes,102444407.0,ns,833
cost_trait_checker,,135,135,bytes,103985796.0,ns,850
cost_trait_checker,,135,135,bytes,106125810.0,ns,867
cost_trait_checker,,135,135,bytes,108205445.0,ns,884
cost_trait_checker,,135,135,bytes,110287722.0,ns,901
cost_trait_checker,,135,135,bytes,112421104.0,ns,918
cost_trait_checker,,135,135,bytes,114486347.0,ns,935
cost_trait_checker,,135,135,bytes,116520281.0,ns,952
cost_trait_checker,,135,135,bytes,118667493.0,ns,969
cost_trait_checker,,135,135,bytes,120651570.0,ns,986
cost_trait_checker,,135,135,bytes,122758098.0,ns,1003
cost_trait_checker,,135,135,bytes,124849303.0,ns,1020
cost_trait_checker,,135,135,bytes,126968182.0,ns,1037
cost_trait_checker,,135,135,bytes,129034829.0,ns,1054
cost_trait_checker,,135,135,bytes,131067758.0,ns,1071
cost_trait_checker,,135,135,bytes,133481777.0,ns,1088
cost_trait_checker,,135,135,bytes,135352641.0,ns,1105
cost_trait_checker,,135,135,bytes,137305238.0,ns,1122
cost_trait_checker,,135,135,bytes,139436260.0,ns,1139
cost_trait_checker,,135,135,bytes,141546224.0,ns,1156
cost_trait_checker,,135,135,bytes,143893342.0,ns,1173
cost_trait_checker,,135,135,bytes,145909859.0,ns,1190
cost_trait_checker,,135,135,bytes,147681735.0,ns,1207
cost_trait_checker,,135,135,bytes,150291265.0,ns,1224
cost_trait_checker,,135,135,bytes,151890343.0,ns,1241
cost_trait_checker,,135,135,bytes,154083117.0,ns,1258
cost_trait_checker,,135,135,bytes,156176360.0,ns,1275
cost_trait_checker,,135,135,bytes,158357844.0,ns,1292
cost_trait_checker,,135,135,bytes,160435062.0,ns,1309
cost_trait_checker,,135,135,bytes,162274023.0,ns,1326
cost_trait_checker,,135,135,bytes,165183942.0,ns,1343
cost_trait_checker,,135,135,bytes,166325929.0,ns,1360
cost_trait_checker,,135,135,bytes,168565259.0,ns,1377
cost_trait_checker,,135,135,bytes,170689607.0,ns,1394
cost_trait_checker,,135,135,bytes,172676888.0,ns,1411
cost_trait_checker,,135,135,bytes,174706389.0,ns,1428
cost_trait_checker,,135,135,bytes,176723663.0,ns,1445
cost_trait_checker,,135,135,bytes,178832744.0,ns,1462
cost_trait_checker,,135,135,bytes,180996362.0,ns,1479
cost_trait_checker,,135,135,bytes,182971272.0,ns,1496
