group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_trait_checker,,257,257,bytes,2063628.0,ns,14
cost_trait_checker,,257,257,bytes,4092903.0,ns,28
cost_trait_checker,,257,257,bytes,6214024.0,ns,42
cost_trait_checker,,257,257,bytes,8229144.0,ns,56
cost_trait_checker,,257,257,bytes,10433291.0,ns,70
cost_trait_checker,,257,257,bytes,12443761.0,ns,84
cost_trait_checker,,257,257,bytes,14720676.0,ns,98
cost_trait_checker,,257,257,bytes,16732627.0,ns,112
cost_trait_checker,,257,257,bytes,18825746.0,ns,126
cost_trait_checker,,257,257,bytes,21055097.0,ns,140
cost_trait_checker,,257,257,bytes,23033295.0,ns,154
cost_trait_checker,,257,257,bytes,25206135.0,ns,168
cost_trait_checker,,257,257,bytes,27252728.0,ns,182
cost_trait_checker,,257,257,bytes,29039816.0,ns,196
cost_trait_checker,,257,257,bytes,31523633.0,ns,210
cost_trait_checker,,257,257,bytes,33549373.0,ns,224
cost_trait_checker,,257,257,bytes,35682190.0,ns,238
cost_trait_checker,,257,257,bytes,37860025.0,ns,252
cost_trait_checker,,257,257,bytes,39621019.0,ns,266
cost_trait_checker,,257,257,bytes,41973568.0,ns,280
cost_trait_checker,,257,257,bytes,43982621.0,ns,294
cost_trait_checker,,257,257,bytes,47245813.0,ns,308
cost_trait_checker,,257,257,bytes,47755965.0,ns,322
cost_trait_checker,,257,257,bytes,50329325.0,ns,336
cost_trait_checker,,257,257,bytes,52187183.0,ns,350
cost_trait_checker,,257,257,bytes,54492610.0,ns,364
cost_trait_checker,,257,257,bytes,56656182.0,ns,378
cost_trait_checker,,257,257,bytes,58386607.0,ns,392
cost_trait_checker,,257,257,bytes,60365697.0,ns,406
cost_trait_checker,,257,257,bytes,63063848.0,ns,420
cost_trait_checker,,257,257,bytes,65260354.0,ns,434
cost_trait_checker,,257,257,bytes,67304283.0,ns,448
cost_trait_checker,,257,257,bytes,68096635.0,ns,462
cost_trait_checker,,257,257,bytes,70495660.0,ns,476
cost_trait_checker,,257,257,bytes,72676258.0,ns,490
cost_trait_checker,,257,257,bytes,75172882.0,ns,504
cost_trait_checker,,257,257,bytes,77189155.0,ns,518
cost_trait_checker,,257,257,bytes,79741109.0,ns,532
cost_trait_checker,,257,257,bytes,81462797.0,ns,546
cost_trait_checker,,257,257,bytes,83065617.0,ns,560
cost_trait_checker,,257,257,bytes,85761845.0,ns,574
cost_trait_checker,,257,257,bytes,87536537.0,ns,588
cost_trait_checker,,257,257,bytes,89129255.0,ns,602
cost_trait_checker,,257,257,bytes,89831187.0,ns,616
cost_trait_checker,,257,257,bytes,92201492.0,ns,630
cost_trait_checker,,257,257,bytes,95032569.0,ns,644
cost_trait_checker,,257,257,bytes,97886312.0,ns,658
cost_trait_checker,,257,257,bytes,99152579.0,ns,672
cost_trait_checker,,257,257,bytes,102259570.0,ns,686
cost_trait_checker,,257,257,bytes,104431353.0,ns,700
cost_trait_checker,,257,257,bytes,106492901.0,ns,714
cost_trait_checker,,257,257,bytes,108918230.0,ns,728
cost_trait_checker,,257,257,bytes,111005170.0,ns,742
cost_trait_checker,,257,257,bytes,113719188.0,ns,756
cost_trait_checker,,257,257,bytes,114804551.0,ns,770
cost_trait_checker,,257,257,bytes,116969255.0,ns,784
cost_trait_checker,,257,257,bytes,118871705.0,ns,798
cost_trait_checker,,257,257,bytes,120310490.0,ns,812
cost_trait_checker,,257,257,bytes,122562942.0,ns,826
cost_trait_checker,,257,257,bytes,124641653.0,ns,840
cost_trait_checker,,257,257,bytes,127127246.0,ns,854
cost_trait_checker,,257,257,bytes,127732027.0,ns,868
cost_trait_checker,,257,257,bytes,131438291.0,ns,882
cost_trait_checker,,257,257,bytes,132509325.0,ns,896
