group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_try_ret,,1,1,bytes,2118684.0,ns,26
cost_try_ret,,1,1,bytes,3965138.0,ns,52
cost_try_ret,,1,1,bytes,5923318.0,ns,78
cost_try_ret,,1,1,bytes,7907727.0,ns,104
cost_try_ret,,1,1,bytes,9895224.0,ns,130
cost_try_ret,,1,1,bytes,11863255.0,ns,156
cost_try_ret,,1,1,bytes,13869475.0,ns,182
cost_try_ret,,1,1,bytes,15844914.0,ns,208
cost_try_ret,,1,1,bytes,17825684.0,ns,234
cost_try_ret,,1,1,bytes,19801726.0,ns,260
cost_try_ret,,1,1,bytes,21796134.0,ns,286
cost_try_ret,,1,1,bytes,23741470.0,ns,312
cost_try_ret,,1,1,bytes,25736514.0,ns,338
cost_try_ret,,1,1,bytes,27704310.0,ns,364
cost_try_ret,,1,1,bytes,29663882.0,ns,390
cost_try_ret,,1,1,bytes,31642384.0,ns,416
cost_try_ret,,1,1,bytes,33608418.0,ns,442
cost_try_ret,,1,1,bytes,35620388.0,ns,468
cost_try_ret,,1,1,bytes,37563042.0,ns,494
cost_try_ret,,1,1,bytes,39533159.0,ns,520
cost_try_ret,,1,1,bytes,41525661.0,ns,546
cost_try_ret,,1,1,bytes,43498782.0,ns,572
cost_try_ret,,1,1,bytes,45518469.0,ns,598
cost_try_ret,,1,1,bytes,47481378.0,ns,624
cost_try_ret,,1,1,bytes,49487196.0,ns,650
cost_try_ret,,1,1,bytes,51422985.0,ns,676
cost_try_ret,,1,1,bytes,53605527.0,ns,702
cost_try_ret,,1,1,bytes,55436773.0,ns,728
cost_try_ret,,1,1,bytes,57399654.0,ns,754
cost_try_ret,,1,1,bytes,59346467.0,ns,780
cost_try_ret,,1,1,bytes,61316098.0,ns,806
cost_try_ret,,1,1,bytes,63493098.0,ns,832
cost_try_ret,,1,1,bytes,65400378.0,ns,858
cost_try_ret,,1,1,bytes,67577766.0,ns,884
cost_try_ret,,1,1,bytes,69391347.0,ns,910
cost_try_ret,,1,1,bytes,71284568.0,ns,936
cost_try_ret,,1,1,bytes,73223702.0,ns,962
cost_try_ret,,1,1,bytes,75157023.0,ns,988
cost_try_ret,,1,1,bytes,77135628.0,ns,1014
cost_try_ret,,1,1,bytes,79147810.0,ns,1040
cost_try_ret,,1,1,bytes,81234143.0,ns,1066
cost_try_ret,,1,1,bytes,83113031.0,ns,1092
cost_try_ret,,1,1,bytes,85498560.0,ns,1118
cost_try_ret,,1,1,bytes,86938185.0,ns,1144
cost_try_ret,,1,1,bytes,88946700.0,ns,1170
cost_try_ret,,1,1,bytes,90950129.0,ns,1196
cost_try_ret,,1,1,bytes,92887891.0,ns,1222
cost_try_ret,,1,1,bytes,94866430.0,ns,1248
cost_try_ret,,1,1,bytes,96895173.0,ns,1274
cost_try_ret,,1,1,bytes,98878703.0,ns,1300
cost_try_ret,,1,1,bytes,100810374.0,ns,1326
cost_try_ret,,1,1,bytes,102898709.0,ns,1352
cost_try_ret,,1,1,bytes,104795048.0,ns,1378
cost_try_ret,,1,1,bytes,106789775.0,ns,1404
cost_try_ret,,1,1,bytes,109075964.0,ns,1430
cost_try_ret,,1,1,bytes,111135527.0,ns,1456
cost_try_ret,,1,1,bytes,112855304.0,ns,1482
cost_try_ret,,1,1,bytes,114881768.0,ns,1508
cost_try_ret,,1,1,bytes,116933585.0,ns,1534
cost_try_ret,,1,1,bytes,118970932.0,ns,1560
cost_try_ret,,1,1,bytes,121023060.0,ns,1586
cost_try_ret,,1,1,bytes,123158088.0,ns,1612
cost_try_ret,,1,1,bytes,124943862.0,ns,1638
cost_try_ret,,1,1,bytes,126934460.0,ns,1664
cost_try_ret,,1,1,bytes,128885923.0,ns,1690
cost_try_ret,,1,1,bytes,130801419.0,ns,1716
cost_try_ret,,1,1,bytes,132927771.0,ns,1742
cost_try_ret,,1,1,bytes,134772214.0,ns,1768
cost_try_ret,,1,1,bytes,136614629.0,ns,1794
cost_try_ret,,1,1,bytes,138446633.0,ns,1820
cost_try_ret,,1,1,bytes,140827872.0,ns,1846
cost_try_ret,,1,1,bytes,142629535.0,ns,1872
cost_try_ret,,1,1,bytes,144526682.0,ns,1898
cost_try_ret,,1,1,bytes,146401579.0,ns,1924
cost_try_ret,,1,1,bytes,148286206.0,ns,1950
cost_try_ret,,1,1,bytes,150325364.0,ns,1976
cost_try_ret,,1,1,bytes,152220138.0,ns,2002
cost_try_ret,,1,1,bytes,154323352.0,ns,2028
cost_try_ret,,1,1,bytes,156257421.0,ns,2054
cost_try_ret,,1,1,bytes,158220557.0,ns,2080
cost_try_ret,,1,1,bytes,160146308.0,ns,2106
cost_try_ret,,1,1,bytes,162332158.0,ns,2132
cost_try_ret,,1,1,bytes,164440298.0,ns,2158
cost_try_ret,,1,1,bytes,166442479.0,ns,2184
cost_try_ret,,1,1,bytes,168559500.0,ns,2210
cost_try_ret,,1,1,bytes,170277252.0,ns,2236
cost_try_ret,,1,1,bytes,172234965.0,ns,2262
cost_try_ret,,1,1,bytes,174171085.0,ns,2288
cost_try_ret,,1,1,bytes,176727185.0,ns,2314
cost_try_ret,,1,1,bytes,178069338.0,ns,2340
cost_try_ret,,1,1,bytes,180131698.0,ns,2366
cost_try_ret,,1,1,bytes,182227466.0,ns,2392
cost_try_ret,,1,1,bytes,183821177.0,ns,2418
cost_try_ret,,1,1,bytes,185816906.0,ns,2444
cost_try_ret,,1,1,bytes,188008356.0,ns,2470
cost_try_ret,,1,1,bytes,190431119.0,ns,2496
cost_try_ret,,1,1,bytes,192136273.0,ns,2522
cost_try_ret,,1,1,bytes,193926005.0,ns,2548
cost_try_ret,,1,1,bytes,196071769.0,ns,2574
cost_try_ret,,1,1,bytes,197610663.0,ns,2600
