group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_try_ret,,1,1,bytes,1019518.0,ns,6
cost_try_ret,,1,1,bytes,1984205.0,ns,12
cost_try_ret,,1,1,bytes,2997791.0,ns,18
cost_try_ret,,1,1,bytes,4014569.0,ns,24
cost_try_ret,,1,1,bytes,4970435.0,ns,30
cost_try_ret,,1,1,bytes,5977630.0,ns,36
cost_try_ret,,1,1,bytes,6954970.0,ns,42
cost_try_ret,,1,1,bytes,7941719.0,ns,48
cost_try_ret,,1,1,bytes,8912597.0,ns,54
cost_try_ret,,1,1,bytes,9907706.0,ns,60
cost_try_ret,,1,1,bytes,10901608.0,ns,66
cost_try_ret,,1,1,bytes,11887104.0,ns,72
cost_try_ret,,1,1,bytes,12876258.0,ns,78
cost_try_ret,,1,1,bytes,13909559.0,ns,84
cost_try_ret,,1,1,bytes,14893964.0,ns,90
cost_try_ret,,1,1,bytes,15926604.0,ns,96
cost_try_ret,,1,1,bytes,16877537.0,ns,102
cost_try_ret,,1,1,bytes,17855678.0,ns,108
cost_try_ret,,1,1,bytes,18822683.0,ns,114
cost_try_ret,,1,1,bytes,19864106.0,ns,120
cost_try_ret,,1,1,bytes,20877240.0,ns,126
cost_try_ret,,1,1,bytes,21845711.0,ns,132
cost_try_ret,,1,1,bytes,22871633.0,ns,138
cost_try_ret,,1,1,bytes,23781065.0,ns,144
cost_try_ret,,1,1,bytes,24824591.0,ns,150
cost_try_ret,,1,1,bytes,25947641.0,ns,156
cost_try_ret,,1,1,bytes,26906706.0,ns,162
cost_try_ret,,1,1,bytes,27868682.0,ns,168
cost_try_ret,,1,1,bytes,28792457.0,ns,174
cost_try_ret,,1,1,bytes,29862407.0,ns,180
cost_try_ret,,1,1,bytes,30761284.0,ns,186
cost_try_ret,,1,1,bytes,31786653.0,ns,192
cost_try_ret,,1,1,bytes,32848926.0,ns,198
cost_try_ret,,1,1,bytes,33803145.0,ns,204
cost_try_ret,,1,1,bytes,34803457.0,ns,210
cost_try_ret,,1,1,bytes,35783512.0,ns,216
cost_try_ret,,1,1,bytes,36781200.0,ns,222
cost_try_ret,,1,1,bytes,37811429.0,ns,228
cost_try_ret,,1,1,bytes,38745837.0,ns,234
cost_try_ret,,1,1,bytes,39733139.0,ns,240
cost_try_ret,,1,1,bytes,40737184.0,ns,246
cost_try_ret,,1,1,bytes,41749892.0,ns,252
cost_try_ret,,1,1,bytes,43119644.0,ns,258
cost_try_ret,,1,1,bytes,44010627.0,ns,264
cost_try_ret,,1,1,bytes,44565296.0,ns,270
cost_try_ret,,1,1,bytes,45597558.0,ns,276
cost_try_ret,,1,1,bytes,46651783.0,ns,282
cost_try_ret,,1,1,bytes,47630852.0,ns,288
cost_try_ret,,1,1,bytes,48606953.0,ns,294
cost_try_ret,,1,1,bytes,49532550.0,ns,300
cost_try_ret,,1,1,bytes,50533811.0,ns,306
cost_try_ret,,1,1,bytes,51463504.0,ns,312
cost_try_ret,,1,1,bytes,52565672.0,ns,318
cost_try_ret,,1,1,bytes,53652396.0,ns,324
cost_try_ret,,1,1,bytes,54683883.0,ns,330
cost_try_ret,,1,1,bytes,55565604.0,ns,336
cost_try_ret,,1,1,bytes,56525041.0,ns,342
cost_try_ret,,1,1,bytes,57458273.0,ns,348
cost_try_ret,,1,1,bytes,58491003.0,ns,354
cost_try_ret,,1,1,bytes,59494496.0,ns,360
cost_try_ret,,1,1,bytes,60796462.0,ns,366
cost_try_ret,,1,1,bytes,61393208.0,ns,372
cost_try_ret,,1,1,bytes,62790776.0,ns,378
cost_try_ret,,1,1,bytes,63580722.0,ns,384
cost_try_ret,,1,1,bytes,64556256.0,ns,390
cost_try_ret,,1,1,bytes,65809885.0,ns,396
cost_try_ret,,1,1,bytes,66514913.0,ns,402
cost_try_ret,,1,1,bytes,67481403.0,ns,408
cost_try_ret,,1,1,bytes,68556026.0,ns,414
cost_try_ret,,1,1,bytes,69556411.0,ns,420
cost_try_ret,,1,1,bytes,70934707.0,ns,426
cost_try_ret,,1,1,bytes,71469687.0,ns,432
cost_try_ret,,1,1,bytes,72873218.0,ns,438
cost_try_ret,,1,1,bytes,73409139.0,ns,444
cost_try_ret,,1,1,bytes,74511584.0,ns,450
cost_try_ret,,1,1,bytes,75741298.0,ns,456
cost_try_ret,,1,1,bytes,76874661.0,ns,462
cost_try_ret,,1,1,bytes,77388831.0,ns,468
cost_try_ret,,1,1,bytes,78486297.0,ns,474
cost_try_ret,,1,1,bytes,79529717.0,ns,480
cost_try_ret,,1,1,bytes,91908215.0,ns,486
cost_try_ret,,1,1,bytes,81269188.0,ns,492
cost_try_ret,,1,1,bytes,82565440.0,ns,498
cost_try_ret,,1,1,bytes,83640949.0,ns,504
cost_try_ret,,1,1,bytes,84343914.0,ns,510
cost_try_ret,,1,1,bytes,85325834.0,ns,516
cost_try_ret,,1,1,bytes,86322889.0,ns,522
cost_try_ret,,1,1,bytes,87336368.0,ns,528
cost_try_ret,,1,1,bytes,89036163.0,ns,534
cost_try_ret,,1,1,bytes,89419290.0,ns,540
cost_try_ret,,1,1,bytes,90516806.0,ns,546
cost_try_ret,,1,1,bytes,91395500.0,ns,552
cost_try_ret,,1,1,bytes,92404557.0,ns,558
cost_try_ret,,1,1,bytes,93392014.0,ns,564
cost_try_ret,,1,1,bytes,94480322.0,ns,570
cost_try_ret,,1,1,bytes,95779864.0,ns,576
cost_try_ret,,1,1,bytes,97435333.0,ns,582
cost_try_ret,,1,1,bytes,97248545.0,ns,588
cost_try_ret,,1,1,bytes,98306301.0,ns,594
cost_try_ret,,1,1,bytes,99449175.0,ns,600
