group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_tuple_cons,,128,128,bytes,102764483.0,ns,20
cost_tuple_cons,,128,128,bytes,102166165.0,ns,20
cost_tuple_cons,,128,128,bytes,103932131.0,ns,20
cost_tuple_cons,,128,128,bytes,103035685.0,ns,20
cost_tuple_cons,,128,128,bytes,102315219.0,ns,20
cost_tuple_cons,,128,128,bytes,103340754.0,ns,20
cost_tuple_cons,,128,128,bytes,101232096.0,ns,20
cost_tuple_cons,,128,128,bytes,102564032.0,ns,20
cost_tuple_cons,,128,128,bytes,105396175.0,ns,20
cost_tuple_cons,,128,128,bytes,106334755.0,ns,20
cost_tuple_cons,,128,128,bytes,109030356.0,ns,20
cost_tuple_cons,,128,128,bytes,103663612.0,ns,20
cost_tuple_cons,,128,128,bytes,102647943.0,ns,20
cost_tuple_cons,,128,128,bytes,102164721.0,ns,20
cost_tuple_cons,,128,128,bytes,104290909.0,ns,20
cost_tuple_cons,,128,128,bytes,104246855.0,ns,20
cost_tuple_cons,,128,128,bytes,104604910.0,ns,20
cost_tuple_cons,,128,128,bytes,103670538.0,ns,20
cost_tuple_cons,,128,128,bytes,102640585.0,ns,20
cost_tuple_cons,,128,128,bytes,102697695.0,ns,20
cost_tuple_cons,,128,128,bytes,101722179.0,ns,20
cost_tuple_cons,,128,128,bytes,102554440.0,ns,20
cost_tuple_cons,,128,128,bytes,103409133.0,ns,20
cost_tuple_cons,,128,128,bytes,101581926.0,ns,20
cost_tuple_cons,,128,128,bytes,102310829.0,ns,20
cost_tuple_cons,,128,128,bytes,104670372.0,ns,20
cost_tuple_cons,,128,128,bytes,103731760.0,ns,20
cost_tuple_cons,,128,128,bytes,101972304.0,ns,20
cost_tuple_cons,,128,128,bytes,102991007.0,ns,20
cost_tuple_cons,,128,128,bytes,104763437.0,ns,20
cost_tuple_cons,,128,128,bytes,103842520.0,ns,20
cost_tuple_cons,,128,128,bytes,103165742.0,ns,20
cost_tuple_cons,,128,128,bytes,102610321.0,ns,20
cost_tuple_cons,,128,128,bytes,105650068.0,ns,20
cost_tuple_cons,,128,128,bytes,103283310.0,ns,20
cost_tuple_cons,,128,128,bytes,104546369.0,ns,20
cost_tuple_cons,,128,128,bytes,104557790.0,ns,20
cost_tuple_cons,,128,128,bytes,104193364.0,ns,20
cost_tuple_cons,,128,128,bytes,103984428.0,ns,20
cost_tuple_cons,,128,128,bytes,102052605.0,ns,20
cost_tuple_cons,,128,128,bytes,103731687.0,ns,20
cost_tuple_cons,,128,128,bytes,102815790.0,ns,20
cost_tuple_cons,,128,128,bytes,102617310.0,ns,20
cost_tuple_cons,,128,128,bytes,102163990.0,ns,20
cost_tuple_cons,,128,128,bytes,103186711.0,ns,20
cost_tuple_cons,,128,128,bytes,103086906.0,ns,20
cost_tuple_cons,,128,128,bytes,103725740.0,ns,20
cost_tuple_cons,,128,128,bytes,103291990.0,ns,20
cost_tuple_cons,,128,128,bytes,104110103.0,ns,20
cost_tuple_cons,,128,128,bytes,102695163.0,ns,20
cost_tuple_cons,,128,128,bytes,102813174.0,ns,20
cost_tuple_cons,,128,128,bytes,101766576.0,ns,20
