group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_tuple_cons,,4096,4096,bytes,250080106.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250227356.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253027267.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253105111.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251777346.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250443877.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252040825.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249469116.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252460172.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248709449.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250783706.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251518731.0,ns,1
cost_tuple_cons,,4096,4096,bytes,247961500.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250612133.0,ns,1
cost_tuple_cons,,4096,4096,bytes,258281513.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251934857.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253461834.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251408428.0,ns,1
cost_tuple_cons,,4096,4096,bytes,255807644.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253294867.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251094224.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251984852.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250230374.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253956891.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252723775.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249712893.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249958886.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251120303.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248841894.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251353700.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253618860.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250642836.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250418785.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248282176.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250993984.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250911428.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250539814.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253739823.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250859729.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249537082.0,ns,1
cost_tuple_cons,,4096,4096,bytes,247947840.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248146428.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250918817.0,ns,1
cost_tuple_cons,,4096,4096,bytes,265959406.0,ns,1
cost_tuple_cons,,4096,4096,bytes,254251145.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251753407.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250007764.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251137295.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251174097.0,ns,1
cost_tuple_cons,,4096,4096,bytes,247975588.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251621618.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248826384.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249003709.0,ns,1
cost_tuple_cons,,4096,4096,bytes,255895105.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252589086.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248861168.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248907792.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249653001.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248008686.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248426556.0,ns,1
cost_tuple_cons,,4096,4096,bytes,246391007.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251401301.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251492473.0,ns,1
cost_tuple_cons,,4096,4096,bytes,254265500.0,ns,1
cost_tuple_cons,,4096,4096,bytes,254731483.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248725859.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251465319.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251771562.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250786561.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252665529.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253888656.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249474212.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250341677.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252146889.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251201356.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248756662.0,ns,1
cost_tuple_cons,,4096,4096,bytes,246617434.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248470089.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248507519.0,ns,1
cost_tuple_cons,,4096,4096,bytes,251152282.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250463372.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248076464.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253197616.0,ns,1
cost_tuple_cons,,4096,4096,bytes,257129750.0,ns,1
cost_tuple_cons,,4096,4096,bytes,253369769.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252453310.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252152018.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249643132.0,ns,1
cost_tuple_cons,,4096,4096,bytes,247104538.0,ns,1
cost_tuple_cons,,4096,4096,bytes,250743956.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249457471.0,ns,1
cost_tuple_cons,,4096,4096,bytes,257579583.0,ns,1
cost_tuple_cons,,4096,4096,bytes,248054171.0,ns,1
cost_tuple_cons,,4096,4096,bytes,252124560.0,ns,1
cost_tuple_cons,,4096,4096,bytes,249930339.0,ns,1
