group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_tuple_get,,1024,1024,bytes,57915872.0,ns,2
cost_tuple_get,,1024,1024,bytes,57903441.0,ns,2
cost_tuple_get,,1024,1024,bytes,57853879.0,ns,2
cost_tuple_get,,1024,1024,bytes,57949000.0,ns,2
cost_tuple_get,,1024,1024,bytes,57962805.0,ns,2
cost_tuple_get,,1024,1024,bytes,58569830.0,ns,2
cost_tuple_get,,1024,1024,bytes,58633886.0,ns,2
cost_tuple_get,,1024,1024,bytes,58262386.0,ns,2
cost_tuple_get,,1024,1024,bytes,58688890.0,ns,2
cost_tuple_get,,1024,1024,bytes,58174989.0,ns,2
cost_tuple_get,,1024,1024,bytes,58004514.0,ns,2
cost_tuple_get,,1024,1024,bytes,58105408.0,ns,2
cost_tuple_get,,1024,1024,bytes,58048263.0,ns,2
cost_tuple_get,,1024,1024,bytes,58089916.0,ns,2
cost_tuple_get,,1024,1024,bytes,58076276.0,ns,2
cost_tuple_get,,1024,1024,bytes,58236063.0,ns,2
cost_tuple_get,,1024,1024,bytes,57876269.0,ns,2
cost_tuple_get,,1024,1024,bytes,58102977.0,ns,2
cost_tuple_get,,1024,1024,bytes,57999991.0,ns,2
cost_tuple_get,,1024,1024,bytes,58052788.0,ns,2
cost_tuple_get,,1024,1024,bytes,57923091.0,ns,2
cost_tuple_get,,1024,1024,bytes,57949103.0,ns,2
cost_tuple_get,,1024,1024,bytes,58084714.0,ns,2
cost_tuple_get,,1024,1024,bytes,58140290.0,ns,2
cost_tuple_get,,1024,1024,bytes,58324284.0,ns,2
cost_tuple_get,,1024,1024,bytes,58003072.0,ns,2
cost_tuple_get,,1024,1024,bytes,58016826.0,ns,2
cost_tuple_get,,1024,1024,bytes,57765408.0,ns,2
cost_tuple_get,,1024,1024,bytes,58029081.0,ns,2
cost_tuple_get,,1024,1024,bytes,57808680.0,ns,2
cost_tuple_get,,1024,1024,bytes,58056579.0,ns,2
cost_tuple_get,,1024,1024,bytes,58111499.0,ns,2
cost_tuple_get,,1024,1024,bytes,58015698.0,ns,2
cost_tuple_get,,1024,1024,bytes,57928345.0,ns,2
cost_tuple_get,,1024,1024,bytes,57900932.0,ns,2
cost_tuple_get,,1024,1024,bytes,57823581.0,ns,2
cost_tuple_get,,1024,1024,bytes,57922121.0,ns,2
cost_tuple_get,,1024,1024,bytes,57850972.0,ns,2
cost_tuple_get,,1024,1024,bytes,57874509.0,ns,2
cost_tuple_get,,1024,1024,bytes,58048389.0,ns,2
cost_tuple_get,,1024,1024,bytes,57904520.0,ns,2
cost_tuple_get,,1024,1024,bytes,57945045.0,ns,2
cost_tuple_get,,1024,1024,bytes,57969750.0,ns,2
cost_tuple_get,,1024,1024,bytes,58043380.0,ns,2
cost_tuple_get,,1024,1024,bytes,57885694.0,ns,2
cost_tuple_get,,1024,1024,bytes,57868752.0,ns,2
cost_tuple_get,,1024,1024,bytes,57856626.0,ns,2
cost_tuple_get,,1024,1024,bytes,57822462.0,ns,2
cost_tuple_get,,1024,1024,bytes,57913991.0,ns,2
cost_tuple_get,,1024,1024,bytes,58098963.0,ns,2
cost_tuple_get,,1024,1024,bytes,58018726.0,ns,2
cost_tuple_get,,1024,1024,bytes,58345701.0,ns,2
cost_tuple_get,,1024,1024,bytes,58038941.0,ns,2
cost_tuple_get,,1024,1024,bytes,57861988.0,ns,2
cost_tuple_get,,1024,1024,bytes,57887988.0,ns,2
cost_tuple_get,,1024,1024,bytes,57827918.0,ns,2
cost_tuple_get,,1024,1024,bytes,58236581.0,ns,2
cost_tuple_get,,1024,1024,bytes,57872584.0,ns,2
cost_tuple_get,,1024,1024,bytes,58583517.0,ns,2
cost_tuple_get,,1024,1024,bytes,58397567.0,ns,2
cost_tuple_get,,1024,1024,bytes,58264435.0,ns,2
cost_tuple_get,,1024,1024,bytes,58428933.0,ns,2
cost_tuple_get,,1024,1024,bytes,58162338.0,ns,2
cost_tuple_get,,1024,1024,bytes,58065563.0,ns,2
cost_tuple_get,,1024,1024,bytes,58167800.0,ns,2
cost_tuple_get,,1024,1024,bytes,57905258.0,ns,2
cost_tuple_get,,1024,1024,bytes,57958207.0,ns,2
cost_tuple_get,,1024,1024,bytes,57846349.0,ns,2
cost_tuple_get,,1024,1024,bytes,58070319.0,ns,2
cost_tuple_get,,1024,1024,bytes,58194368.0,ns,2
cost_tuple_get,,1024,1024,bytes,58221662.0,ns,2
cost_tuple_get,,1024,1024,bytes,58080148.0,ns,2
