group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_tuple_merge,,90,90,bytes,2259218.0,ns,15
cost_tuple_merge,,90,90,bytes,4041387.0,ns,30
cost_tuple_merge,,90,90,bytes,6033855.0,ns,45
cost_tuple_merge,,90,90,bytes,8051886.0,ns,60
cost_tuple_merge,,90,90,bytes,10047876.0,ns,75
cost_tuple_merge,,90,90,bytes,12086281.0,ns,90
cost_tuple_merge,,90,90,bytes,14090024.0,ns,105
cost_tuple_merge,,90,90,bytes,16323304.0,ns,120
cost_tuple_merge,,90,90,bytes,18264084.0,ns,135
cost_tuple_merge,,90,90,bytes,20105021.0,ns,150
cost_tuple_merge,,90,90,bytes,22218580.0,ns,165
cost_tuple_merge,,90,90,bytes,24262900.0,ns,180
cost_tuple_merge,,90,90,bytes,26156451.0,ns,195
cost_tuple_merge,,90,90,bytes,28340735.0,ns,210
cost_tuple_merge,,90,90,bytes,30225126.0,ns,225
cost_tuple_merge,,90,90,bytes,32242131.0,ns,240
cost_tuple_merge,,90,90,bytes,34346463.0,ns,255
cost_tuple_merge,,90,90,bytes,36591694.0,ns,270
cost_tuple_merge,,90,90,bytes,38330609.0,ns,285
cost_tuple_merge,,90,90,bytes,40279606.0,ns,300
cost_tuple_merge,,90,90,bytes,42255026.0,ns,315
cost_tuple_merge,,90,90,bytes,44280208.0,ns,330
cost_tuple_merge,,90,90,bytes,46395787.0,ns,345
cost_tuple_merge,,90,90,bytes,48299642.0,ns,360
cost_tuple_merge,,90,90,bytes,50314520.0,ns,375
cost_tuple_merge,,90,90,bytes,52362725.0,ns,390
cost_tuple_merge,,90,90,bytes,54451380.0,ns,405
cost_tuple_merge,,90,90,bytes,56491707.0,ns,420
cost_tuple_merge,,90,90,bytes,58429753.0,ns,435
cost_tuple_merge,,90,90,bytes,60364961.0,ns,450
cost_tuple_merge,,90,90,bytes,62469413.0,ns,465
cost_tuple_merge,,90,90,bytes,64646296.0,ns,480
cost_tuple_merge,,90,90,bytes,66492094.0,ns,495
cost_tuple_merge,,90,90,bytes,68498506.0,ns,510
cost_tuple_merge,,90,90,bytes,70655497.0,ns,525
cost_tuple_merge,,90,90,bytes,72468778.0,ns,540
cost_tuple_merge,,90,90,bytes,74531223.0,ns,555
cost_tuple_merge,,90,90,bytes,76467161.0,ns,570
cost_tuple_merge,,90,90,bytes,78464484.0,ns,585
cost_tuple_merge,,90,90,bytes,80508941.0,ns,600
cost_tuple_merge,,90,90,bytes,82525289.0,ns,615
cost_tuple_merge,,90,90,bytes,84531413.0,ns,630
cost_tuple_merge,,90,90,bytes,86537969.0,ns,645
cost_tuple_merge,,90,90,bytes,88642221.0,ns,660
cost_tuple_merge,,90,90,bytes,90741398.0,ns,675
cost_tuple_merge,,90,90,bytes,92855134.0,ns,690
cost_tuple_merge,,90,90,bytes,94837323.0,ns,705
cost_tuple_merge,,90,90,bytes,96609811.0,ns,720
cost_tuple_merge,,90,90,bytes,98584660.0,ns,735
cost_tuple_merge,,90,90,bytes,100601930.0,ns,750
cost_tuple_merge,,90,90,bytes,102740344.0,ns,765
cost_tuple_merge,,90,90,bytes,104680608.0,ns,780
cost_tuple_merge,,90,90,bytes,106718343.0,ns,795
cost_tuple_merge,,90,90,bytes,109043562.0,ns,810
cost_tuple_merge,,90,90,bytes,110685628.0,ns,825
cost_tuple_merge,,90,90,bytes,113140887.0,ns,840
cost_tuple_merge,,90,90,bytes,115067249.0,ns,855
cost_tuple_merge,,90,90,bytes,117104710.0,ns,870
cost_tuple_merge,,90,90,bytes,118865197.0,ns,885
cost_tuple_merge,,90,90,bytes,120767576.0,ns,900
cost_tuple_merge,,90,90,bytes,122751431.0,ns,915
