group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_type_checker,,376,376,bytes,1994407.0,ns,2
cost_type_checker,,376,376,bytes,3950241.0,ns,4
cost_type_checker,,376,376,bytes,5937766.0,ns,6
cost_type_checker,,376,376,bytes,7868954.0,ns,8
cost_type_checker,,376,376,bytes,9858185.0,ns,10
cost_type_checker,,376,376,bytes,11884340.0,ns,12
cost_type_checker,,376,376,bytes,13812043.0,ns,14
cost_type_checker,,376,376,bytes,15781139.0,ns,16
cost_type_checker,,376,376,bytes,17753713.0,ns,18
cost_type_checker,,376,376,bytes,19763930.0,ns,20
cost_type_checker,,376,376,bytes,21690127.0,ns,22
cost_type_checker,,376,376,bytes,23620526.0,ns,24
cost_type_checker,,376,376,bytes,25640155.0,ns,26
cost_type_checker,,376,376,bytes,27590922.0,ns,28
cost_type_checker,,376,376,bytes,29440008.0,ns,30
cost_type_checker,,376,376,bytes,31520942.0,ns,32
cost_type_checker,,376,376,bytes,33433537.0,ns,34
cost_type_checker,,376,376,bytes,35422728.0,ns,36
cost_type_checker,,376,376,bytes,37353923.0,ns,38
cost_type_checker,,376,376,bytes,39448558.0,ns,40
cost_type_checker,,376,376,bytes,41429973.0,ns,42
cost_type_checker,,376,376,bytes,43234200.0,ns,44
cost_type_checker,,376,376,bytes,45403613.0,ns,46
cost_type_checker,,376,376,bytes,48027841.0,ns,48
cost_type_checker,,376,376,bytes,49762948.0,ns,50
cost_type_checker,,376,376,bytes,51990347.0,ns,52
cost_type_checker,,376,376,bytes,53272884.0,ns,54
cost_type_checker,,376,376,bytes,55686022.0,ns,56
cost_type_checker,,376,376,bytes,57375517.0,ns,58
cost_type_checker,,376,376,bytes,59456659.0,ns,60
cost_type_checker,,376,376,bytes,61451183.0,ns,62
cost_type_checker,,376,376,bytes,63281529.0,ns,64
cost_type_checker,,376,376,bytes,65567796.0,ns,66
cost_type_checker,,376,376,bytes,67025750.0,ns,68
cost_type_checker,,376,376,bytes,68898391.0,ns,70
cost_type_checker,,376,376,bytes,71045194.0,ns,72
cost_type_checker,,376,376,bytes,72900603.0,ns,74
cost_type_checker,,376,376,bytes,74747899.0,ns,76
cost_type_checker,,376,376,bytes,76948521.0,ns,78
cost_type_checker,,376,376,bytes,79335202.0,ns,80
cost_type_checker,,376,376,bytes,81685730.0,ns,82
cost_type_checker,,376,376,bytes,83146368.0,ns,84
cost_type_checker,,376,376,bytes,84876159.0,ns,86
cost_type_checker,,376,376,bytes,87062453.0,ns,88
cost_type_checker,,376,376,bytes,88948232.0,ns,90
cost_type_checker,,376,376,bytes,90646421.0,ns,92
cost_type_checker,,376,376,bytes,92571996.0,ns,94
cost_type_checker,,376,376,bytes,95064706.0,ns,96
cost_type_checker,,376,376,bytes,96871602.0,ns,98
cost_type_checker,,376,376,bytes,99271750.0,ns,100
cost_type_checker,,376,376,bytes,100536890.0,ns,102
cost_type_checker,,376,376,bytes,103217331.0,ns,104
cost_type_checker,,376,376,bytes,106122405.0,ns,106
cost_type_checker,,376,376,bytes,106937551.0,ns,108
cost_type_checker,,376,376,bytes,108881361.0,ns,110
cost_type_checker,,376,376,bytes,110890110.0,ns,112
cost_type_checker,,376,376,bytes,112829794.0,ns,114
cost_type_checker,,376,376,bytes,114952918.0,ns,116
cost_type_checker,,376,376,bytes,117135301.0,ns,118
cost_type_checker,,376,376,bytes,118652007.0,ns,120
cost_type_checker,,376,376,bytes,121122350.0,ns,122
cost_type_checker,,376,376,bytes,123572218.0,ns,124
cost_type_checker,,376,376,bytes,125727214.0,ns,126
cost_type_checker,,376,376,bytes,127050935.0,ns,128
cost_type_checker,,376,376,bytes,128225926.0,ns,130
cost_type_checker,,376,376,bytes,130258683.0,ns,132
cost_type_checker,,376,376,bytes,132454438.0,ns,134
cost_type_checker,,376,376,bytes,135328748.0,ns,136
cost_type_checker,,376,376,bytes,137245214.0,ns,138
cost_type_checker,,376,376,bytes,138847941.0,ns,140
cost_type_checker,,376,376,bytes,139904450.0,ns,142
cost_type_checker,,376,376,bytes,142304251.0,ns,144
cost_type_checker,,376,376,bytes,144123125.0,ns,146
cost_type_checker,,376,376,bytes,146959194.0,ns,148
cost_type_checker,,376,376,bytes,149166823.0,ns,150
cost_type_checker,,376,376,bytes,151561355.0,ns,152
cost_type_checker,,376,376,bytes,153315625.0,ns,154
cost_type_checker,,376,376,bytes,154787934.0,ns,156
cost_type_checker,,376,376,bytes,156614821.0,ns,158
cost_type_checker,,376,376,bytes,158708798.0,ns,160
cost_type_checker,,376,376,bytes,160647393.0,ns,162
cost_type_checker,,376,376,bytes,162791050.0,ns,164
cost_type_checker,,376,376,bytes,163796658.0,ns,166
cost_type_checker,,376,376,bytes,164253072.0,ns,168
cost_type_checker,,376,376,bytes,166354172.0,ns,170
cost_type_checker,,376,376,bytes,168401720.0,ns,172
cost_type_checker,,376,376,bytes,169937112.0,ns,174
cost_type_checker,,376,376,bytes,172975904.0,ns,176
cost_type_checker,,376,376,bytes,175369697.0,ns,178
cost_type_checker,,376,376,bytes,177118898.0,ns,180
cost_type_checker,,376,376,bytes,179226545.0,ns,182
cost_type_checker,,376,376,bytes,181891274.0,ns,184
cost_type_checker,,376,376,bytes,183887412.0,ns,186
cost_type_checker,,376,376,bytes,185725371.0,ns,188
cost_type_checker,,376,376,bytes,187818423.0,ns,190
cost_type_checker,,376,376,bytes,189708598.0,ns,192
cost_type_checker,,376,376,bytes,192032996.0,ns,194
cost_type_checker,,376,376,bytes,193802766.0,ns,196
cost_type_checker,,376,376,bytes,197053383.0,ns,198
cost_type_checker,,376,376,bytes,197220537.0,ns,200
