group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_type_checker,,6114,6114,bytes,126020794.0,ns,1
cost_type_checker,,6114,6114,bytes,125490171.0,ns,1
cost_type_checker,,6114,6114,bytes,125154571.0,ns,1
cost_type_checker,,6114,6114,bytes,125173608.0,ns,1
cost_type_checker,,6114,6114,bytes,125191054.0,ns,1
cost_type_checker,,6114,6114,bytes,125122974.0,ns,1
cost_type_checker,,6114,6114,bytes,124903742.0,ns,1
cost_type_checker,,6114,6114,bytes,125290960.0,ns,1
cost_type_checker,,6114,6114,bytes,125986364.0,ns,1
cost_type_checker,,6114,6114,bytes,125342356.0,ns,1
cost_type_checker,,6114,6114,bytes,125374191.0,ns,1
cost_type_checker,,6114,6114,bytes,125237470.0,ns,1
cost_type_checker,,6114,6114,bytes,125073708.0,ns,1
cost_type_checker,,6114,6114,bytes,124897255.0,ns,1
cost_type_checker,,6114,6114,bytes,125674447.0,ns,1
cost_type_checker,,6114,6114,bytes,125529730.0,ns,1
cost_type_checker,,6114,6114,bytes,126140464.0,ns,1
cost_type_checker,,6114,6114,bytes,126128808.0,ns,1
cost_type_checker,,6114,6114,bytes,125539184.0,ns,1
cost_type_checker,,6114,6114,bytes,125155199.0,ns,1
cost_type_checker,,6114,6114,bytes,125476414.0,ns,1
cost_type_checker,,6114,6114,bytes,126499138.0,ns,1
cost_type_checker,,6114,6114,bytes,124953970.0,ns,1
cost_type_checker,,6114,6114,bytes,125119890.0,ns,1
cost_type_checker,,6114,6114,bytes,125435270.0,ns,1
cost_type_checker,,6114,6114,bytes,124918386.0,ns,1
cost_type_checker,,6114,6114,bytes,125262956.0,ns,1
cost_type_checker,,6114,6114,bytes,125057275.0,ns,1
cost_type_checker,,6114,6114,bytes,125521602.0,ns,1
cost_type_checker,,6114,6114,bytes,125663817.0,ns,1
cost_type_checker,,6114,6114,bytes,125298490.0,ns,1
cost_type_checker,,6114,6114,bytes,125962044.0,ns,1
cost_type_checker,,6114,6114,bytes,127615622.0,ns,1
cost_type_checker,,6114,6114,bytes,126485371.0,ns,1
cost_type_checker,,6114,6114,bytes,126308919.0,ns,1
cost_type_checker,,6114,6114,bytes,125712538.0,ns,1
cost_type_checker,,6114,6114,bytes,125472205.0,ns,1
cost_type_checker,,6114,6114,bytes,125462995.0,ns,1
cost_type_checker,,6114,6114,bytes,125229657.0,ns,1
cost_type_checker,,6114,6114,bytes,127497780.0,ns,1
cost_type_checker,,6114,6114,bytes,128770320.0,ns,1
cost_type_checker,,6114,6114,bytes,125978319.0,ns,1
cost_type_checker,,6114,6114,bytes,125557789.0,ns,1
cost_type_checker,,6114,6114,bytes,125604087.0,ns,1
cost_type_checker,,6114,6114,bytes,125461461.0,ns,1
cost_type_checker,,6114,6114,bytes,125445110.0,ns,1
