group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_type_parse_step,,1,1,bytes,1996008.0,ns,945
cost_type_parse_step,,1,1,bytes,3967839.0,ns,1890
cost_type_parse_step,,1,1,bytes,5932230.0,ns,2835
cost_type_parse_step,,1,1,bytes,7909900.0,ns,3780
cost_type_parse_step,,1,1,bytes,9893005.0,ns,4725
cost_type_parse_step,,1,1,bytes,11865390.0,ns,5670
cost_type_parse_step,,1,1,bytes,13853964.0,ns,6615
cost_type_parse_step,,1,1,bytes,15832059.0,ns,7560
cost_type_parse_step,,1,1,bytes,17804061.0,ns,8505
cost_type_parse_step,,1,1,bytes,19780904.0,ns,9450
cost_type_parse_step,,1,1,bytes,21764581.0,ns,10395
cost_type_parse_step,,1,1,bytes,23742800.0,ns,11340
cost_type_parse_step,,1,1,bytes,25747534.0,ns,12285
cost_type_parse_step,,1,1,bytes,27804875.0,ns,13230
cost_type_parse_step,,1,1,bytes,29738153.0,ns,14175
cost_type_parse_step,,1,1,bytes,31788230.0,ns,15120
cost_type_parse_step,,1,1,bytes,33652408.0,ns,16065
cost_type_parse_step,,1,1,bytes,35630210.0,ns,17010
cost_type_parse_step,,1,1,bytes,37591024.0,ns,17955
cost_type_parse_step,,1,1,bytes,39883080.0,ns,18900
cost_type_parse_step,,1,1,bytes,41542575.0,ns,19845
cost_type_parse_step,,1,1,bytes,43531917.0,ns,20790
cost_type_parse_step,,1,1,bytes,45510449.0,ns,21735
cost_type_parse_step,,1,1,bytes,47494020.0,ns,22680
cost_type_parse_step,,1,1,bytes,49451412.0,ns,23625
cost_type_parse_step,,1,1,bytes,51459718.0,ns,24570
cost_type_parse_step,,1,1,bytes,53411343.0,ns,25515
cost_type_parse_step,,1,1,bytes,55386821.0,ns,26460
cost_type_parse_step,,1,1,bytes,57388911.0,ns,27405
cost_type_parse_step,,1,1,bytes,59345540.0,ns,28350
cost_type_parse_step,,1,1,bytes,61357555.0,ns,29295
cost_type_parse_step,,1,1,bytes,63312028.0,ns,30240
cost_type_parse_step,,1,1,bytes,65290343.0,ns,31185
cost_type_parse_step,,1,1,bytes,67270901.0,ns,32130
cost_type_parse_step,,1,1,bytes,69406168.0,ns,33075
cost_type_parse_step,,1,1,bytes,71633906.0,ns,34020
cost_type_parse_step,,1,1,bytes,73233696.0,ns,34965
cost_type_parse_step,,1,1,bytes,75279579.0,ns,35910
cost_type_parse_step,,1,1,bytes,77297138.0,ns,36855
cost_type_parse_step,,1,1,bytes,79144398.0,ns,37800
cost_type_parse_step,,1,1,bytes,81137945.0,ns,38745
cost_type_parse_step,,1,1,bytes,83110153.0,ns,39690
cost_type_parse_step,,1,1,bytes,85054309.0,ns,40635
cost_type_parse_step,,1,1,bytes,87040119.0,ns,41580
cost_type_parse_step,,1,1,bytes,89045713.0,ns,42525
cost_type_parse_step,,1,1,bytes,91001058.0,ns,43470
cost_type_parse_step,,1,1,bytes,92993454.0,ns,44415
cost_type_parse_step,,1,1,bytes,94995981.0,ns,45360
cost_type_parse_step,,1,1,bytes,97427776.0,ns,46305
cost_type_parse_step,,1,1,bytes,99006427.0,ns,47250
cost_type_parse_step,,1,1,bytes,100922547.0,ns,48195
cost_type_parse_step,,1,1,bytes,102883154.0,ns,49140
cost_type_parse_step,,1,1,bytes,104879224.0,ns,50085
cost_type_parse_step,,1,1,bytes,106836493.0,ns,51030
cost_type_parse_step,,1,1,bytes,108817334.0,ns,51975
cost_type_parse_step,,1,1,bytes,110827497.0,ns,52920
cost_type_parse_step,,1,1,bytes,113117074.0,ns,53865
cost_type_parse_step,,1,1,bytes,115332681.0,ns,54810
cost_type_parse_step,,1,1,bytes,116777244.0,ns,55755
cost_type_parse_step,,1,1,bytes,118740275.0,ns,56700
cost_type_parse_step,,1,1,bytes,120693859.0,ns,57645
cost_type_parse_step,,1,1,bytes,122681580.0,ns,58590
cost_type_parse_step,,1,1,bytes,124650439.0,ns,59535
cost_type_parse_step,,1,1,bytes,126805357.0,ns,60480
cost_type_parse_step,,1,1,bytes,129021838.0,ns,61425
cost_type_parse_step,,1,1,bytes,130631283.0,ns,62370
cost_type_parse_step,,1,1,bytes,132831570.0,ns,63315
cost_type_parse_step,,1,1,bytes,134543213.0,ns,64260
cost_type_parse_step,,1,1,bytes,136493699.0,ns,65205
cost_type_parse_step,,1,1,bytes,138446876.0,ns,66150
cost_type_parse_step,,1,1,bytes,140453031.0,ns,67095
cost_type_parse_step,,1,1,bytes,142446774.0,ns,68040
cost_type_parse_step,,1,1,bytes,144409549.0,ns,68985
cost_type_parse_step,,1,1,bytes,146431875.0,ns,69930
cost_type_parse_step,,1,1,bytes,148342875.0,ns,70875
cost_type_parse_step,,1,1,bytes,150337197.0,ns,71820
cost_type_parse_step,,1,1,bytes,152290230.0,ns,72765
cost_type_parse_step,,1,1,bytes,154260188.0,ns,73710
cost_type_parse_step,,1,1,bytes,156606337.0,ns,74655
cost_type_parse_step,,1,1,bytes,158941202.0,ns,75600
cost_type_parse_step,,1,1,bytes,160260533.0,ns,76545
cost_type_parse_step,,1,1,bytes,162255985.0,ns,77490
cost_type_parse_step,,1,1,bytes,164253871.0,ns,78435
cost_type_parse_step,,1,1,bytes,166182417.0,ns,79380
cost_type_parse_step,,1,1,bytes,168176931.0,ns,80325
cost_type_parse_step,,1,1,bytes,170562122.0,ns,81270
cost_type_parse_step,,1,1,bytes,172265236.0,ns,82215
cost_type_parse_step,,1,1,bytes,174128217.0,ns,83160
cost_type_parse_step,,1,1,bytes,176123103.0,ns,84105
cost_type_parse_step,,1,1,bytes,178077490.0,ns,85050
cost_type_parse_step,,1,1,bytes,180336905.0,ns,85995
cost_type_parse_step,,1,1,bytes,182490115.0,ns,86940
cost_type_parse_step,,1,1,bytes,184109152.0,ns,87885
cost_type_parse_step,,1,1,bytes,185982750.0,ns,88830
cost_type_parse_step,,1,1,bytes,187967396.0,ns,89775
cost_type_parse_step,,1,1,bytes,190002773.0,ns,90720
cost_type_parse_step,,1,1,bytes,192162247.0,ns,91665
cost_type_parse_step,,1,1,bytes,193930818.0,ns,92610
cost_type_parse_step,,1,1,bytes,195871247.0,ns,93555
cost_type_parse_step,,1,1,bytes,197863983.0,ns,94500
