group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_type_parse_step,,1,1,bytes,1010210.0,ns,320
cost_type_parse_step,,1,1,bytes,2037661.0,ns,640
cost_type_parse_step,,1,1,bytes,3090002.0,ns,960
cost_type_parse_step,,1,1,bytes,4066054.0,ns,1280
cost_type_parse_step,,1,1,bytes,5068247.0,ns,1600
cost_type_parse_step,,1,1,bytes,6089393.0,ns,1920
cost_type_parse_step,,1,1,bytes,7070606.0,ns,2240
cost_type_parse_step,,1,1,bytes,8088836.0,ns,2560
cost_type_parse_step,,1,1,bytes,9092566.0,ns,2880
cost_type_parse_step,,1,1,bytes,10100123.0,ns,3200
cost_type_parse_step,,1,1,bytes,11118862.0,ns,3520
cost_type_parse_step,,1,1,bytes,12137760.0,ns,3840
cost_type_parse_step,,1,1,bytes,13122607.0,ns,4160
cost_type_parse_step,,1,1,bytes,14142947.0,ns,4480
cost_type_parse_step,,1,1,bytes,15175029.0,ns,4800
cost_type_parse_step,,1,1,bytes,16275372.0,ns,5120
cost_type_parse_step,,1,1,bytes,17193875.0,ns,5440
cost_type_parse_step,,1,1,bytes,18205818.0,ns,5760
cost_type_parse_step,,1,1,bytes,19215886.0,ns,6080
cost_type_parse_step,,1,1,bytes,20179549.0,ns,6400
cost_type_parse_step,,1,1,bytes,21290945.0,ns,6720
cost_type_parse_step,,1,1,bytes,22249650.0,ns,7040
cost_type_parse_step,,1,1,bytes,23249018.0,ns,7360
cost_type_parse_step,,1,1,bytes,24253237.0,ns,7680
cost_type_parse_step,,1,1,bytes,25246053.0,ns,8000
cost_type_parse_step,,1,1,bytes,26316764.0,ns,8320
cost_type_parse_step,,1,1,bytes,27365198.0,ns,8640
cost_type_parse_step,,1,1,bytes,28293421.0,ns,8960
cost_type_parse_step,,1,1,bytes,29333857.0,ns,9280
cost_type_parse_step,,1,1,bytes,30307229.0,ns,9600
cost_type_parse_step,,1,1,bytes,31310115.0,ns,9920
cost_type_parse_step,,1,1,bytes,32338609.0,ns,10240
cost_type_parse_step,,1,1,bytes,33336363.0,ns,10560
cost_type_parse_step,,1,1,bytes,34413782.0,ns,10880
cost_type_parse_step,,1,1,bytes,35375786.0,ns,11200
cost_type_parse_step,,1,1,bytes,36393570.0,ns,11520
