group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_user_function_application,,2,2,bytes,2125965.0,ns,139
cost_user_function_application,,2,2,bytes,3976006.0,ns,278
cost_user_function_application,,2,2,bytes,5960580.0,ns,417
cost_user_function_application,,2,2,bytes,7966714.0,ns,556
cost_user_function_application,,2,2,bytes,9952018.0,ns,695
cost_user_function_application,,2,2,bytes,11928316.0,ns,834
cost_user_function_application,,2,2,bytes,13948446.0,ns,973
cost_user_function_application,,2,2,bytes,15912517.0,ns,1112
cost_user_function_application,,2,2,bytes,18061869.0,ns,1251
cost_user_function_application,,2,2,bytes,19926644.0,ns,1390
cost_user_function_application,,2,2,bytes,21881467.0,ns,1529
cost_user_function_application,,2,2,bytes,23873568.0,ns,1668
cost_user_function_application,,2,2,bytes,25912854.0,ns,1807
cost_user_function_application,,2,2,bytes,27845670.0,ns,1946
cost_user_function_application,,2,2,bytes,29846070.0,ns,2085
cost_user_function_application,,2,2,bytes,32162357.0,ns,2224
cost_user_function_application,,2,2,bytes,33822934.0,ns,2363
cost_user_function_application,,2,2,bytes,35814930.0,ns,2502
cost_user_function_application,,2,2,bytes,38008697.0,ns,2641
cost_user_function_application,,2,2,bytes,39815925.0,ns,2780
cost_user_function_application,,2,2,bytes,41894468.0,ns,2919
cost_user_function_application,,2,2,bytes,43871474.0,ns,3058
cost_user_function_application,,2,2,bytes,45757228.0,ns,3197
cost_user_function_application,,2,2,bytes,47849727.0,ns,3336
cost_user_function_application,,2,2,bytes,49744361.0,ns,3475
cost_user_function_application,,2,2,bytes,51696040.0,ns,3614
cost_user_function_application,,2,2,bytes,53748032.0,ns,3753
cost_user_function_application,,2,2,bytes,55766401.0,ns,3892
cost_user_function_application,,2,2,bytes,57716436.0,ns,4031
cost_user_function_application,,2,2,bytes,59659645.0,ns,4170
cost_user_function_application,,2,2,bytes,61690336.0,ns,4309
cost_user_function_application,,2,2,bytes,63684724.0,ns,4448
cost_user_function_application,,2,2,bytes,65849748.0,ns,4587
cost_user_function_application,,2,2,bytes,67704495.0,ns,4726
cost_user_function_application,,2,2,bytes,69650444.0,ns,4865
cost_user_function_application,,2,2,bytes,71631918.0,ns,5004
cost_user_function_application,,2,2,bytes,73720924.0,ns,5143
cost_user_function_application,,2,2,bytes,75600192.0,ns,5282
cost_user_function_application,,2,2,bytes,77648483.0,ns,5421
cost_user_function_application,,2,2,bytes,79633689.0,ns,5560
cost_user_function_application,,2,2,bytes,81542125.0,ns,5699
cost_user_function_application,,2,2,bytes,83737581.0,ns,5838
cost_user_function_application,,2,2,bytes,85553422.0,ns,5977
cost_user_function_application,,2,2,bytes,87853817.0,ns,6116
cost_user_function_application,,2,2,bytes,89609201.0,ns,6255
cost_user_function_application,,2,2,bytes,91518508.0,ns,6394
cost_user_function_application,,2,2,bytes,93585534.0,ns,6533
cost_user_function_application,,2,2,bytes,95920737.0,ns,6672
cost_user_function_application,,2,2,bytes,97557729.0,ns,6811
cost_user_function_application,,2,2,bytes,99853830.0,ns,6950
cost_user_function_application,,2,2,bytes,101868103.0,ns,7089
cost_user_function_application,,2,2,bytes,103570156.0,ns,7228
cost_user_function_application,,2,2,bytes,105557706.0,ns,7367
cost_user_function_application,,2,2,bytes,107461309.0,ns,7506
cost_user_function_application,,2,2,bytes,109489956.0,ns,7645
cost_user_function_application,,2,2,bytes,111434515.0,ns,7784
cost_user_function_application,,2,2,bytes,113533244.0,ns,7923
cost_user_function_application,,2,2,bytes,115787455.0,ns,8062
cost_user_function_application,,2,2,bytes,117423851.0,ns,8201
cost_user_function_application,,2,2,bytes,119448281.0,ns,8340
cost_user_function_application,,2,2,bytes,121509248.0,ns,8479
cost_user_function_application,,2,2,bytes,123478957.0,ns,8618
cost_user_function_application,,2,2,bytes,125821557.0,ns,8757
cost_user_function_application,,2,2,bytes,127500946.0,ns,8896
cost_user_function_application,,2,2,bytes,129435197.0,ns,9035
cost_user_function_application,,2,2,bytes,131392178.0,ns,9174
cost_user_function_application,,2,2,bytes,133567839.0,ns,9313
cost_user_function_application,,2,2,bytes,135601309.0,ns,9452
cost_user_function_application,,2,2,bytes,137422186.0,ns,9591
cost_user_function_application,,2,2,bytes,139417874.0,ns,9730
cost_user_function_application,,2,2,bytes,142831791.0,ns,9869
cost_user_function_application,,2,2,bytes,143445549.0,ns,10008
cost_user_function_application,,2,2,bytes,145475651.0,ns,10147
cost_user_function_application,,2,2,bytes,147649703.0,ns,10286
cost_user_function_application,,2,2,bytes,149287327.0,ns,10425
cost_user_function_application,,2,2,bytes,151409169.0,ns,10564
cost_user_function_application,,2,2,bytes,153227943.0,ns,10703
cost_user_function_application,,2,2,bytes,155293032.0,ns,10842
cost_user_function_application,,2,2,bytes,157300153.0,ns,10981
cost_user_function_application,,2,2,bytes,159292484.0,ns,11120
cost_user_function_application,,2,2,bytes,163721581.0,ns,11259
cost_user_function_application,,2,2,bytes,163583664.0,ns,11398
cost_user_function_application,,2,2,bytes,165319823.0,ns,11537
cost_user_function_application,,2,2,bytes,167362677.0,ns,11676
cost_user_function_application,,2,2,bytes,169409159.0,ns,11815
cost_user_function_application,,2,2,bytes,171663181.0,ns,11954
cost_user_function_application,,2,2,bytes,173221427.0,ns,12093
cost_user_function_application,,2,2,bytes,175155982.0,ns,12232
cost_user_function_application,,2,2,bytes,177456717.0,ns,12371
cost_user_function_application,,2,2,bytes,179044001.0,ns,12510
cost_user_function_application,,2,2,bytes,181093381.0,ns,12649
cost_user_function_application,,2,2,bytes,183454728.0,ns,12788
cost_user_function_application,,2,2,bytes,185462205.0,ns,12927
cost_user_function_application,,2,2,bytes,187243103.0,ns,13066
cost_user_function_application,,2,2,bytes,189448526.0,ns,13205
cost_user_function_application,,2,2,bytes,191094161.0,ns,13344
cost_user_function_application,,2,2,bytes,193034204.0,ns,13483
cost_user_function_application,,2,2,bytes,195077473.0,ns,13622
cost_user_function_application,,2,2,bytes,197115232.0,ns,13761
cost_user_function_application,,2,2,bytes,199352492.0,ns,13900
