group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_user_function_application,,32,32,bytes,2364773.0,ns,5
cost_user_function_application,,32,32,bytes,4284109.0,ns,10
cost_user_function_application,,32,32,bytes,6407586.0,ns,15
cost_user_function_application,,32,32,bytes,8518617.0,ns,20
cost_user_function_application,,32,32,bytes,10648855.0,ns,25
cost_user_function_application,,32,32,bytes,12788793.0,ns,30
cost_user_function_application,,32,32,bytes,14933327.0,ns,35
cost_user_function_application,,32,32,bytes,17093379.0,ns,40
cost_user_function_application,,32,32,bytes,19331097.0,ns,45
cost_user_function_application,,32,32,bytes,21293092.0,ns,50
cost_user_function_application,,32,32,bytes,23504034.0,ns,55
cost_user_function_application,,32,32,bytes,25557491.0,ns,60
cost_user_function_application,,32,32,bytes,27720596.0,ns,65
cost_user_function_application,,32,32,bytes,30010541.0,ns,70
cost_user_function_application,,32,32,bytes,32214014.0,ns,75
cost_user_function_application,,32,32,bytes,34375225.0,ns,80
cost_user_function_application,,32,32,bytes,36335363.0,ns,85
cost_user_function_application,,32,32,bytes,38364266.0,ns,90
cost_user_function_application,,32,32,bytes,40480257.0,ns,95
cost_user_function_application,,32,32,bytes,42624428.0,ns,100
cost_user_function_application,,32,32,bytes,44729823.0,ns,105
cost_user_function_application,,32,32,bytes,46968923.0,ns,110
cost_user_function_application,,32,32,bytes,49025149.0,ns,115
cost_user_function_application,,32,32,bytes,51193140.0,ns,120
cost_user_function_application,,32,32,bytes,53253037.0,ns,125
cost_user_function_application,,32,32,bytes,55512853.0,ns,130
cost_user_function_application,,32,32,bytes,57518826.0,ns,135
cost_user_function_application,,32,32,bytes,59685426.0,ns,140
cost_user_function_application,,32,32,bytes,61783557.0,ns,145
cost_user_function_application,,32,32,bytes,63890277.0,ns,150
cost_user_function_application,,32,32,bytes,66017046.0,ns,155
cost_user_function_application,,32,32,bytes,68160846.0,ns,160
cost_user_function_application,,32,32,bytes,70335519.0,ns,165
cost_user_function_application,,32,32,bytes,72591489.0,ns,170
cost_user_function_application,,32,32,bytes,74596568.0,ns,175
cost_user_function_application,,32,32,bytes,76892775.0,ns,180
cost_user_function_application,,32,32,bytes,78917246.0,ns,185
cost_user_function_application,,32,32,bytes,80896971.0,ns,190
cost_user_function_application,,32,32,bytes,83035445.0,ns,195
cost_user_function_application,,32,32,bytes,86110210.0,ns,200
cost_user_function_application,,32,32,bytes,87291265.0,ns,205
cost_user_function_application,,32,32,bytes,89696003.0,ns,210
cost_user_function_application,,32,32,bytes,91665921.0,ns,215
cost_user_function_application,,32,32,bytes,93927847.0,ns,220
cost_user_function_application,,32,32,bytes,96064899.0,ns,225
cost_user_function_application,,32,32,bytes,98285816.0,ns,230
cost_user_function_application,,32,32,bytes,100194802.0,ns,235
cost_user_function_application,,32,32,bytes,102239955.0,ns,240
cost_user_function_application,,32,32,bytes,104331861.0,ns,245
cost_user_function_application,,32,32,bytes,106401653.0,ns,250
cost_user_function_application,,32,32,bytes,109170070.0,ns,255
cost_user_function_application,,32,32,bytes,111213345.0,ns,260
cost_user_function_application,,32,32,bytes,113370211.0,ns,265
cost_user_function_application,,32,32,bytes,115790512.0,ns,270
cost_user_function_application,,32,32,bytes,117427410.0,ns,275
cost_user_function_application,,32,32,bytes,119303684.0,ns,280
cost_user_function_application,,32,32,bytes,121838435.0,ns,285
cost_user_function_application,,32,32,bytes,123710352.0,ns,290
cost_user_function_application,,32,32,bytes,125772006.0,ns,295
cost_user_function_application,,32,32,bytes,128038246.0,ns,300
cost_user_function_application,,32,32,bytes,130100865.0,ns,305
cost_user_function_application,,32,32,bytes,132444386.0,ns,310
cost_user_function_application,,32,32,bytes,134373529.0,ns,315
cost_user_function_application,,32,32,bytes,136378402.0,ns,320
cost_user_function_application,,32,32,bytes,138475502.0,ns,325
cost_user_function_application,,32,32,bytes,140561530.0,ns,330
cost_user_function_application,,32,32,bytes,142665931.0,ns,335
cost_user_function_application,,32,32,bytes,144822432.0,ns,340
cost_user_function_application,,32,32,bytes,146948665.0,ns,345
cost_user_function_application,,32,32,bytes,149260476.0,ns,350
cost_user_function_application,,32,32,bytes,151034871.0,ns,355
cost_user_function_application,,32,32,bytes,153189888.0,ns,360
cost_user_function_application,,32,32,bytes,156100837.0,ns,365
cost_user_function_application,,32,32,bytes,157804633.0,ns,370
cost_user_function_application,,32,32,bytes,159927183.0,ns,375
cost_user_function_application,,32,32,bytes,162314509.0,ns,380
cost_user_function_application,,32,32,bytes,164017264.0,ns,385
cost_user_function_application,,32,32,bytes,166780742.0,ns,390
cost_user_function_application,,32,32,bytes,170526363.0,ns,395
cost_user_function_application,,32,32,bytes,170752013.0,ns,400
cost_user_function_application,,32,32,bytes,172894044.0,ns,405
cost_user_function_application,,32,32,bytes,175366194.0,ns,410
cost_user_function_application,,32,32,bytes,177724189.0,ns,415
cost_user_function_application,,32,32,bytes,179395116.0,ns,420
cost_user_function_application,,32,32,bytes,181259690.0,ns,425
cost_user_function_application,,32,32,bytes,183193251.0,ns,430
cost_user_function_application,,32,32,bytes,186104209.0,ns,435
cost_user_function_application,,32,32,bytes,187955789.0,ns,440
cost_user_function_application,,32,32,bytes,190046670.0,ns,445
cost_user_function_application,,32,32,bytes,192118207.0,ns,450
cost_user_function_application,,32,32,bytes,194014845.0,ns,455
cost_user_function_application,,32,32,bytes,196511907.0,ns,460
cost_user_function_application,,32,32,bytes,199190397.0,ns,465
cost_user_function_application,,32,32,bytes,200320216.0,ns,470
cost_user_function_application,,32,32,bytes,202703868.0,ns,475
cost_user_function_application,,32,32,bytes,204929160.0,ns,480
cost_user_function_application,,32,32,bytes,206565170.0,ns,485
cost_user_function_application,,32,32,bytes,209245687.0,ns,490
cost_user_function_application,,32,32,bytes,211529125.0,ns,495
cost_user_function_application,,32,32,bytes,213448812.0,ns,500
