group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cost_xor,,3,3,bytes,1992311.0,ns,28
cost_xor,,3,3,bytes,3854916.0,ns,56
cost_xor,,3,3,bytes,5821157.0,ns,84
cost_xor,,3,3,bytes,7725243.0,ns,112
cost_xor,,3,3,bytes,9655018.0,ns,140
cost_xor,,3,3,bytes,12676099.0,ns,168
cost_xor,,3,3,bytes,13514047.0,ns,196
cost_xor,,3,3,bytes,15429661.0,ns,224
cost_xor,,3,3,bytes,17386011.0,ns,252
cost_xor,,3,3,bytes,19287528.0,ns,280
cost_xor,,3,3,bytes,21218147.0,ns,308
cost_xor,,3,3,bytes,23208238.0,ns,336
cost_xor,,3,3,bytes,25105604.0,ns,364
cost_xor,,3,3,bytes,27097232.0,ns,392
cost_xor,,3,3,bytes,28975949.0,ns,420
cost_xor,,3,3,bytes,30868605.0,ns,448
cost_xor,,3,3,bytes,32780043.0,ns,476
cost_xor,,3,3,bytes,34726910.0,ns,504
cost_xor,,3,3,bytes,36643082.0,ns,532
cost_xor,,3,3,bytes,38728168.0,ns,560
cost_xor,,3,3,bytes,41052663.0,ns,588
cost_xor,,3,3,bytes,43456311.0,ns,616
cost_xor,,3,3,bytes,44638152.0,ns,644
cost_xor,,3,3,bytes,46575050.0,ns,672
cost_xor,,3,3,bytes,48470698.0,ns,700
cost_xor,,3,3,bytes,50389089.0,ns,728
cost_xor,,3,3,bytes,52339975.0,ns,756
cost_xor,,3,3,bytes,54569858.0,ns,784
cost_xor,,3,3,bytes,56391926.0,ns,812
cost_xor,,3,3,bytes,57979014.0,ns,840
cost_xor,,3,3,bytes,59885240.0,ns,868
cost_xor,,3,3,bytes,61571688.0,ns,896
cost_xor,,3,3,bytes,63790928.0,ns,924
cost_xor,,3,3,bytes,65691083.0,ns,952
cost_xor,,3,3,bytes,67533702.0,ns,980
cost_xor,,3,3,bytes,69505760.0,ns,1008
cost_xor,,3,3,bytes,71420803.0,ns,1036
cost_xor,,3,3,bytes,73353773.0,ns,1064
cost_xor,,3,3,bytes,75587439.0,ns,1092
cost_xor,,3,3,bytes,77257527.0,ns,1120
cost_xor,,3,3,bytes,79114148.0,ns,1148
cost_xor,,3,3,bytes,81171468.0,ns,1176
cost_xor,,3,3,bytes,82589175.0,ns,1204
cost_xor,,3,3,bytes,84453391.0,ns,1232
cost_xor,,3,3,bytes,86745653.0,ns,1260
cost_xor,,3,3,bytes,88792849.0,ns,1288
cost_xor,,3,3,bytes,90635334.0,ns,1316
cost_xor,,3,3,bytes,92577733.0,ns,1344
cost_xor,,3,3,bytes,94547609.0,ns,1372
cost_xor,,3,3,bytes,96398339.0,ns,1400
cost_xor,,3,3,bytes,98437748.0,ns,1428
cost_xor,,3,3,bytes,100737839.0,ns,1456
cost_xor,,3,3,bytes,104049195.0,ns,1484
cost_xor,,3,3,bytes,104608273.0,ns,1512
cost_xor,,3,3,bytes,106297601.0,ns,1540
cost_xor,,3,3,bytes,108141385.0,ns,1568
cost_xor,,3,3,bytes,110308476.0,ns,1596
cost_xor,,3,3,bytes,111910255.0,ns,1624
cost_xor,,3,3,bytes,114027769.0,ns,1652
cost_xor,,3,3,bytes,115788507.0,ns,1680
cost_xor,,3,3,bytes,117922657.0,ns,1708
cost_xor,,3,3,bytes,119738937.0,ns,1736
cost_xor,,3,3,bytes,122261886.0,ns,1764
cost_xor,,3,3,bytes,123729592.0,ns,1792
cost_xor,,3,3,bytes,126371831.0,ns,1820
cost_xor,,3,3,bytes,127415160.0,ns,1848
cost_xor,,3,3,bytes,129719701.0,ns,1876
cost_xor,,3,3,bytes,132474273.0,ns,1904
cost_xor,,3,3,bytes,133579364.0,ns,1932
cost_xor,,3,3,bytes,135559859.0,ns,1960
cost_xor,,3,3,bytes,138013082.0,ns,1988
cost_xor,,3,3,bytes,139134890.0,ns,2016
cost_xor,,3,3,bytes,140809684.0,ns,2044
cost_xor,,3,3,bytes,142535401.0,ns,2072
cost_xor,,3,3,bytes,144755747.0,ns,2100
cost_xor,,3,3,bytes,146724064.0,ns,2128
cost_xor,,3,3,bytes,149506919.0,ns,2156
cost_xor,,3,3,bytes,151858808.0,ns,2184
cost_xor,,3,3,bytes,153181946.0,ns,2212
cost_xor,,3,3,bytes,154737602.0,ns,2240
cost_xor,,3,3,bytes,156696948.0,ns,2268
cost_xor,,3,3,bytes,158212683.0,ns,2296
cost_xor,,3,3,bytes,160976170.0,ns,2324
cost_xor,,3,3,bytes,162681864.0,ns,2352
cost_xor,,3,3,bytes,164135275.0,ns,2380
cost_xor,,3,3,bytes,165833942.0,ns,2408
cost_xor,,3,3,bytes,167958369.0,ns,2436
cost_xor,,3,3,bytes,169590642.0,ns,2464
cost_xor,,3,3,bytes,171498725.0,ns,2492
cost_xor,,3,3,bytes,173846508.0,ns,2520
cost_xor,,3,3,bytes,177408812.0,ns,2548
cost_xor,,3,3,bytes,179153196.0,ns,2576
cost_xor,,3,3,bytes,179564495.0,ns,2604
cost_xor,,3,3,bytes,181289096.0,ns,2632
cost_xor,,3,3,bytes,185113291.0,ns,2660
cost_xor,,3,3,bytes,187924123.0,ns,2688
cost_xor,,3,3,bytes,187680588.0,ns,2716
cost_xor,,3,3,bytes,189407628.0,ns,2744
cost_xor,,3,3,bytes,191571920.0,ns,2772
cost_xor,,3,3,bytes,193435910.0,ns,2800
