function,a,b
cost_analysis_type_annotate,834.0938957970974,4395.659788358156
cost_analysis_type_check,51078.284437783645,0.0
cost_analysis_type_lookup,690.1911659245111,2937.3218286534975
cost_analysis_visit,0.0,288.07184014958364
cost_analysis_iterable_func,979.9228735722415,6716.682603116671
cost_analysis_option_cons,0.0,2926.5983741952496
cost_analysis_option_check,0.0,1502.6866652879976
cost_analysis_bind_name,1144.363961558666,79579.80751508565
cost_analysis_list_items_check,925.3483275871863,2191.288834558123
cost_analysis_check_tuple_get,17.92700453871301,1184.0843860542627
cost_analysis_check_tuple_cons,1494.4869576601884,2271.478231734247
cost_analysis_tuple_items_check,896.8107195774315,26927.831190306817
cost_analysis_check_let,819.3236284817052,5407.291617889459
cost_analysis_lookup_function,0.0,9034.155256634029
cost_analysis_lookup_function_types,785.0119444020772,12635.934287094191
cost_analysis_lookup_variable_const,0.0,6884.541315948503
cost_analysis_lookup_variable_depth,163.4467189148522,15732.099033286824
cost_arithmetic_only_checker,129.3025403553318,3298.41998249921
cost_read_only,401.01225311728905,531520.1504609801
cost_trait_checker,37769.27221614641,173838.5408936097
cost_type_checker,26922.486249546117,9950424.913750455
cost_ast_parse,77670.49150770246,129348879.72569935
cost_ast_cycle_detection,63719.102255962636,32668.31268347893
cost_analysis_storage,929.9717887285672,45058.2299797358
cost_analysis_use_trait_entry,4491.788135804198,325662.6314666006
cost_analysis_get_function_entry,36704.623969969,586775.0886776126
cost_lookup_variable_depth,1287.2654348097033,6673.789875938135
cost_lookup_variable_size,1063.5186650527648,143.42780512591708
cost_lookup_function,0.0,7431.008619356833
cost_bind_name,0.0,115213.12191192267
cost_inner_type_check_cost,1199.2180622550986,4244.32689497972
cost_user_function_application,12141.73012627322,63087.33747092284
cost_let,66093.33722139103,388050.48766123806
cost_if,0.0,90400.02506953594
cost_asserts,0.0,71326.5410982411
cost_map,544854.3086586414,1491657.3552514464
cost_filter,0.0,207191.48553571428
cost_len,0.0,219085.18888888886
cost_element_at,0.0,278975.3252041742
cost_index_of,385.3082641648777,109359.26901545847
cost_fold,0.0,217696.8432748538
cost_list_cons,6658.64706846941,89302.27402586734
cost_type_parse_step,0.0,2328.3674318907097
cost_tuple_get,1987.8067213295865,801175.863194989
cost_tuple_merge,2179.0040778329394,290791.73590127844
cost_tuple_cons,5213.9011456027165,495809.2216109559
cost_add,5112.468329171846,70465.69342612932
cost_sub,5504.665552811769,69474.74657220667
cost_mul,5843.545992418432,70685.16337601093
cost_div,6310.245546773087,70478.74389878029
cost_geq,0.0,74622.93903242148
cost_leq,0.0,74852.06674208146
cost_le,0.0,70551.16419253261
cost_ge,0.0,73273.79336302081
cost_int_cast,0.0,73916.36723570547
cost_mod,0.0,75890.30795218295
cost_pow,0.0,76666.85474525475
cost_sqrti,0.0,75506.16118129433
cost_log2,0.0,72481.43119090213
cost_xor,0.0,75211.15873015873
cost_not,0.0,73177.65841013825
cost_eq,3454.6020534004647,77753.32359004891
cost_begin,0.0,91181.23051948051
cost_hash160,442.11527034863025,90898.99273106456
cost_sha256,441.9341800718924,45067.65176655352
cost_sha512,213.4297032640758,79422.5507966876
cost_sha512t256,213.6147863321228,85022.40031845868
cost_keccak256,280.9796264915719,99817.18283831328
cost_secp256k1recover,0.0,6454821.0625
cost_secp256k1verify,0.0,6093372.875
cost_print,1747.348103778368,635891.9551125959
cost_some_cons,0.0,98855.90589712476
cost_ok_cons,0.0,97250.14686317986
cost_err_cons,0.0,103618.63238146552
cost_default_to,0.0,112346.142540587
cost_unwrap_ret,0.0,134705.09375
cost_unwrap_err_or_ret,0.0,152856.9728195938
cost_is_okay,0.0,129418.78869680851
cost_is_none,0.0,95686.968164794
cost_is_err,0.0,127016.53596671225
cost_is_some,0.0,100552.10337918659
cost_unwrap,0.0,128103.19357638889
cost_unwrap_err,0.0,118961.87830284552
cost_try_ret,0.0,115518.54120568268
cost_match,0.0,128957.36714231833
cost_or,1599.656055485286,66992.82935008142
cost_and,1577.2448440167325,67118.16160063288
cost_append,32032.798501738063,79457.51297202863
cost_concat,34097.60004343985,109825.91439635764
cost_as_max_len,0.0,213786.0241013072
cost_contract_call,0.0,69001.91631840797
cost_contract_of,0.0,6030009.4375
cost_principal_of,0.0,17597.513459943402
cost_at_block,0.0,94756.91528794605
cost_load_contract,135.55772312507287,70935.26647581764
cost_create_map,765.3032842506477,734227.2012394699
cost_create_var,3566.1720694496025,968623.1819040526
cost_create_nft,831.936676459826,724629.2861347714
cost_create_ft,0.0,887624.7881944445
cost_fetch_entry,283.25403432790904,692861.152755311
cost_set_entry,2154.2945512217516,992215.6815171543
cost_fetch_var,596.769944953293,244530.01483765538
cost_set_var,2271.073932346708,311301.35286666075
cost_contract_storage,6172.628832454262,3592302.4600697737
cost_block_info,0.0,2844856.588235294
cost_stx_balance,0.0,623632.7864864864
cost_stx_transfer,0.0,643761.8997564935
cost_ft_mint,0.0,740655.568120155
cost_ft_transfer,0.0,252099.1324468085
cost_ft_balance,0.0,246586.68966278248
cost_nft_mint,4264.912625301187,286430.0043257617
cost_nft_transfer,4059.9288180261747,291574.052676185
cost_nft_owner,4377.67717298425,357906.2948415105
cost_ft_get_supply,0.0,217556.7559139785
cost_ft_burn,0.0,275530.46279761905
cost_nft_burn,4006.8767151169804,270388.4614997853
poison_microblock,0.0,13305632.5
