function_name,type_name
cost_analysis_type_annotate, linear
cost_analysis_type_check, linear
cost_analysis_type_lookup, linear
cost_analysis_visit, constant
cost_analysis_iterable_func, linear
cost_analysis_option_cons, constant
cost_analysis_option_check, constant
cost_analysis_bind_name, linear
cost_analysis_list_items_check, linear
cost_analysis_check_tuple_get, logn
cost_analysis_check_tuple_cons, nlogn
cost_analysis_tuple_items_check, linear
cost_analysis_check_let, linear
cost_analysis_lookup_function, constant
cost_analysis_lookup_function_types, linear
cost_analysis_lookup_variable_const, constant
cost_analysis_lookup_variable_depth, nlogn
cost_ast_parse, linear
cost_ast_cycle_detection, linear
cost_lookup_variable_depth, linear
cost_lookup_variable_size, linear
cost_lookup_function, constant
cost_bind_name, constant
cost_inner_type_check_cost, linear
cost_user_function_application, linear
cost_let, linear
cost_if, constant
cost_asserts, constant
cost_map, linear
cost_filter, constant
cost_len, constant
cost_element_at, constant
cost_index_of, linear
cost_fold, constant
cost_list_cons, linear
cost_type_parse_step, constant
cost_tuple_get, nlogn
cost_tuple_merge, linear
cost_tuple_cons, nlogn
cost_add, linear
cost_sub, linear
cost_mul, linear
cost_div, linear
cost_geq, constant
cost_leq, constant
cost_le, constant
cost_ge, constant
cost_int_cast, constant
cost_mod, constant
cost_pow, constant
cost_sqrti, constant
cost_log2, constant
cost_xor, constant
cost_not, constant
cost_eq, linear
cost_begin, constant
cost_hash160, linear
cost_sha256, linear
cost_sha512, linear
cost_sha512t256, linear
cost_keccak256, linear
cost_secp256k1recover, constant
cost_secp256k1verify, constant
cost_print, linear
cost_some_cons, constant
cost_ok_cons, constant
cost_err_cons, constant
cost_default_to, constant
cost_unwrap_ret, constant
cost_unwrap_err_or_ret, constant
cost_is_okay, constant
cost_is_none, constant
cost_is_err, constant
cost_is_some, constant
cost_unwrap, constant
cost_unwrap_err, constant
cost_try_ret, constant
cost_match, constant
cost_or, linear
cost_and, linear
cost_append, linear
cost_concat, linear
cost_as_max_len, constant
cost_contract_call, constant
cost_contract_of, constant
cost_principal_of, constant
cost_buff_to_int_le, constant
cost_buff_to_uint_le, constant
cost_buff_to_int_be, constant
cost_buff_to_uint_be, constant
cost_is_standard, constant
cost_principal_destruct, constant
cost_principal_construct, constant
cost_string_to_int, constant
cost_string_to_uint, constant
cost_int_to_ascii, constant
cost_int_to_utf8, constant
cost_slice, constant
cost_to_consensus_buff, linear
cost_from_consensus_buff, nlogn
